fpid,used_for,criteria
Crop rotation,exclusion,"The study does not include results for cropland (e.g. pastures, forests)"
Crop rotation,exclusion,The study deals with cover or break crops
Crop rotation,exclusion,"The experimental treatments included other practices as well (e.g. tillage), without having them in the control"
Enhanced efficiency fertilisers,exclusion,The topic of the meta-analysis is out of the scope of this review
Enhanced efficiency fertilisers,exclusion,The paper is neither a systematic review nor a meta-analysis of primary research
Enhanced efficiency fertilisers,exclusion,The analysis is not based on pairwise comparisons
Enhanced efficiency fertilisers,exclusion,The paper is not written in English
Enhanced efficiency fertilisers,exclusion,The full text is not available
Enhanced efficiency fertilisers,exclusion,"The paper has as control ""unfertilised soil"""
Fallowing,exclusion,The topic of the meta-analysis is out of the scope of this review.
Fallowing,exclusion,The paper is neither a systematic review nor a meta-analysis of primary research.
Fallowing,exclusion,The analysis is not based on pairwise comparisons
Fallowing,exclusion,The paper is not written in English.
Fallowing,exclusion,The full text is not available
Fallowing,exclusion,"The duration of the fallowing was shorter than one crop year, or arable land taken out of production for more than 5-6 years)"
Fallowing,exclusion,The paper dealt with shifting agriculture (practice usually conducted in tropical forest-agriculture where land is abandoned after cultivation for the regeneration of secondary forests)
Fallowing,exclusion,The effect of fallowing was explored in combination with other practices (e.g. conservation agriculture) and it was not possible to disentangle the sole effect of fallowing
Fallowing,inclusion,bare land with no crops at all (according to the official definition)
Fallowing,inclusion,land with spontaneous natural growth which may be used as feed or ploughed in (according to the official definition)
Fallowing,inclusion,"land sown exclusively for the production of green manure (green fallow) (according to the official definition), also named in the literature as ""improved fallows"""
Fallowing,inclusion,"recently abandoned lands (<5 years), we have included them as equivalent to fallows up to 5 years"
Fallowing,inclusion,"set-aside lands defined as ""all or part of a field subjected to, for at least one growing season, low or no fertilizer or chemical inputs, low or no grazing or tillage, and mowing no earlier than late June, if at all, with vegetation either naturally regenerated or sown at the beginning with grass or wildflower mixtures"". "
Grassland conservation and restoration,exclusion,The topic of the meta-analysis is out of the scope of this review.
Grassland conservation and restoration,exclusion,"The paper is  either a non-systematic review, a non-quantitative systematic review, or a meta-regression without mean effect sizes."
Grassland conservation and restoration,exclusion,The analysis is not based on pairwise comparisons
Grassland conservation and restoration,exclusion,The paper is not written in English.
Grassland conservation and restoration,exclusion,The full text is not available
Grassland conservation and restoration,exclusion,The paper does not deal with?terrestrial grasslands or the effects on grasslands can not be disentangled from other land uses
Grassland conservation and restoration,exclusion,"The paper does not compare old successional natural grasslands with nearby secondary grasslands (for grassland conservation),  e.g., comparisons between old successional natural grasslands and croplands were excluded"
Grassland conservation and restoration,exclusion,"The paper does not compare restored grasslands with nearby or with previous cropland use, including tree plantations (for grassland restoration), e.g., land use changes from grassland to cropland were excluded"
Grassland conservation and restoration,exclusion,"Due to the high number of potentially valid synthesis papers, we applied additional exclusion criteria: "
Grassland conservation and restoration,exclusion,The paper does not include studies conducted in Europe
Grassland conservation and restoration,exclusion,"The paper only reports impacts on crop or animal production, and no environmental impacts"
Grassland management,exclusion,The topic of the meta-analysis is out of the scope of this review.
Grassland management,exclusion,The paper is neither a systematic review nor a meta-analysis of primary research.
Grassland management,exclusion,The analysis is not based on pairwise comparisons
Grassland management,exclusion,The paper is not written in English.
Grassland management,exclusion,The full text is not available
Grassland management,exclusion,The article deals with animal health/welfare
Grassland management,exclusion,The article deals with feeding strategies. They go only in animal feeding
Grassland management,inclusion,"Tillage on grassland, rotational grazing, grazing season, livestock grazing density, organic grassland, shrub removal, controlled burning, grassland conservation, permenent grassaland, natural grassland."
Grassland management,inclusion,Strategies on grazing/grassland management that affect animal production
Grassland management,inclusion,"all land use changes including grassland (G => C, G => F, F => G, C => C) "
Grassland management,inclusion,inhibitors on grassland/grazed land
Grazing management,exclusion,The topic of the meta-analysis is out of the scope of this review.
Grazing management,exclusion,The paper is neither a systematic review nor a meta-analysis of primary research.
Grazing management,exclusion,The analysis is not based on pairwise comparisons
Grazing management,exclusion,The paper is not written in English.
Grazing management,exclusion,The full text is not available
Grazing management,exclusion,The article deals with animal health/welfare
Grazing management,exclusion,The article deals with feeding strategies. They go only in animal feeding
Grazing management,inclusion,"Tillage on grassland, rotational grazing, grazing season, livestock grazing density, organic grassland, shrub removal, controlled burning, grassland conservation, permenent grassaland, natural grassland."
Grazing management,inclusion,Strategies on grazing/grassland management that affect animal production
Grazing management,inclusion,"all land use changes including grassland (G => C, G => F, F => G, C => C) "
Grazing management,inclusion,inhibitors on grassland/grazed land
Green manure,exclusion,The topic of the meta-analysis is out of the scope of this review
Green manure,exclusion,The paper is neither a systematic review nor a meta-analysis of primary research
Green manure,exclusion,The analysis is not based on pairwise comparisons
Green manure,exclusion,Land use is not cropland
Green manure,exclusion,Not clearly stated (or mixed) strategy of fertilization
Green manure,exclusion,The paper is not written in English
Green manure,exclusion,The full text is not available
Green manure,inclusion,"Case 1 : Green manure (or organic fertilizer) vs. Unfertilized control. Useful to estimate the effect of organic fertilization. Can be relevant when no mineral fertilization is available (e.g., organic systems)."
Green manure,inclusion,Case 2: Green manure (or organic fertilizer) vs Control with Y kg of mineral fertilization. Useful to evaluate green manure/organic fertilization as a substitution of mineral fertilization. 
Green manure,inclusion,"Case 3: Green manure (or organic fertilizer) + Y kg of mineral fertilizer vs Control with Y kg of mineral fertilization (same strategy of mineral fertilization in control and treatement). Useful to estimate the additional impact due to organic fertilization. Can be relevant to assess the impact of organic fertilization applied in addition to mineral fertilization, without reduction of mineral fertilization (sometimes done by farmers)."
Green manure,inclusion,Case 4: Green manure (or organic fertilizer) + Y - X kg of mineral fertilizer vs. Control with Y kg of mineral fertilizer. Useful to estimate the effect of a substitution of X kg of mineral fertilizer by organic fertilizer. Can be relevant to assess the impact of a substitution strategy (X=Y corresponds to a 100% substitution).
Green manure,inclusion,Case 5: Green manure (or organic fertilizer) + Y - X kg (unknown) of mineral fertilizer vs. Control with Y kg of mineral fertilizer. Useful to estimate the effect of a substitution of X kg of mineral fertilizer by organic fertilizer. Can be relevant to assess the impact of a substitution strategy (X=Y corresponds to a 100% substitution).
Intercropping,exclusion,The topic of the meta-analysis is out of the scope of this review.
Intercropping,exclusion,The paper is neither a systematic review nor a meta-analysis of primary research.
Intercropping,exclusion,The analysis is not based on pairwise comparisons
Intercropping,exclusion,The paper is not written in English.
Intercropping,exclusion,The full text is not available
Intercropping,exclusion,"The analysis does not include results for cropland (e.g. pastures, forests),"
Intercropping,exclusion,"The analysis deals with agroforestry (e.g. alley cropping),"
Intercropping,exclusion,"The experimental treatment included other practices as well (e.g. crop rotation),"
Intercropping,exclusion,"The intecropping treatment included non-cash crops (e.g. companion plants that were not harvested, dual-purpose cropping),"
Intercropping,exclusion,"The paper presents the same dataset as previous studies and similar analyses,"
Intercropping,inclusion,Mixed cropping
Intercropping,inclusion,Row intercropping
Intercropping,inclusion,Strip intercropping
Intercropping,inclusion,Relay cropping
Intercropping,inclusion,cash crops
Landscape features,exclusion,The paper is not written in English.
Landscape features,exclusion,The paper is neither a systematic review nor a meta-analysis of primary research.
Landscape features,exclusion,Land use is not cropland.
Landscape features,exclusion,The analysis is not based on pairwise comparisons
Landscape features,exclusion,The topic of the meta-analysis is out of the scope of this review.
Landscape features,exclusion,The topic is not on a/more specific landscape features.
Landscape features,exclusion,The full text is not available
Landscape features,exclusion,"The topic is agroforestry (but include group of trees, scattered trees, isolated trees...)"
Landscape features,inclusion,"Studies at field, farm and landscape scale"
Landscape features,inclusion,"The control is ""field/farm/landscape without that landscape feature"" or ""before treatment"""
Landscape features,inclusion,The article deals with Buffer strips along water courses
Landscape features,inclusion,The article deals with Hedgerows and wooded strips
Landscape features,inclusion,The article deals with Trees in line
Landscape features,inclusion,The article deals with Isolated trees
Landscape features,inclusion,The article deals with Trees in group and field copses
Landscape features,inclusion,The article deals with Field margins
Landscape features,inclusion,The article deals with Ponds
Landscape features,inclusion,The article deals with Ditches
Landscape features,inclusion,The article deals with Traditional stone walls
Landscape features,inclusion,The article deals with Terraces
Landscape features,inclusion,"The article deals with Landscape parameters (different landscape features considered together): % natural area, etc."
Landscape features,inclusion,The article deals with Several landscape features
Leguminous crops,exclusion,The paper is not written in English.
Leguminous crops,exclusion,The paper inor a systematic review nor a meta-analysis of primary research.
Leguminous crops,exclusion,The Meta-analysis does not provide any clear distinction for leguminous crops from other crops.
Leguminous crops,exclusion,The analysis is not based on pairwise comparisons
Leguminous crops,exclusion,The topic of the meta-analysis is out of the scope of this review.
Leguminous crops,exclusion,The Meta-analysis does not provide any clear distinction for the practice/management strategy which includes legumes.
Leguminous crops,exclusion,The full text is not available
Leguminous crops,inclusion,Rotation including leguminous crops vs rotation excluding leguminous crops
Leguminous crops,inclusion,Rotation including leguminous (or non-leguminous) crops vs no rotation/monoculture
Leguminous crops,inclusion,A crop following a leguminous crop vs same crop following a non-legume
Leguminous crops,inclusion,A crop following a leguminous (or non-leguminous)  crop vs same crop in monoculture
Leguminous crops,inclusion,Green fallows with legumes vs green fallows without legumes
Leguminous crops,inclusion,Leguminous cover crop/green manure vs non-leguminous cover crop
Leguminous crops,inclusion,Leguminous cover crop/green manure vs no cover crop
Leguminous crops,inclusion,Leguminous cover crop/green manure vs no cover crop with mineral fertilisation (substitution at least partial)
Leguminous crops,inclusion,Leguminous cover crop/green manure vs no cover crop with organic fertilisation (substitution at least partial)
Leguminous crops,inclusion,Leguminous break crops  vs non-leguminous break crop
Leguminous crops,inclusion,Leguminous/non-leguminous break crops vs continuous monoculture
Leguminous crops,inclusion,"Agroforestry, Mixed cropping or intercropping including legumes vs mixed cropping or intercropping excluding legumes"
Leguminous crops,inclusion,"Agroforestry, Mixed cropping or intercropping including legumes/excluding legumes vs monoculture"
Leguminous crops,inclusion,Leguminous forage production vs non-leguminous forage production in arable land
Leguminous crops,inclusion,Grassland/pasture with legumes vs grassland/pasture without legumes
Leguminous crops,inclusion,Grassland/pasture management practices with/without legumes vs Grassland/pasture without maganement practices
Leguminous crops,inclusion,N-fixing cash crop /protein crop vs No-N-fixing cash crop /low-protein crops
Livestock feeding techniques,exclusion,The topic of the meta-analysis is out of the scope of this review
Livestock feeding techniques,exclusion,The paper is neither a systematic review nor a meta-analysis of primary research
Livestock feeding techniques,exclusion,The paper does not synthesise pairwise comparisons on the effect of livestock feeding techniques and control treatments coming from the same experiment
Livestock feeding techniques,exclusion,The paper does not include the effect on any environmental impact but only on animal productivity or animal welfare
Livestock feeding techniques,exclusion,The paper is not written in English
Livestock feeding techniques,exclusion,The full text is not available
Livestock housing techniques,exclusion,The topic of the meta-analysis is out of the scope of this review
Livestock housing techniques,exclusion,The paper is neither a systematic review nor a meta-analysis of primary research
Livestock housing techniques,exclusion,The analysis is not based on pairwise comparisons
Livestock housing techniques,exclusion,The paper is not written in English
Livestock housing techniques,exclusion,The full text is not available
Low ammonia emission techniques for mineral fertilisation,exclusion,The topic of the meta-analysis is out of the scope of this review
Low ammonia emission techniques for mineral fertilisation,exclusion,The paper is neither a systematic review nor a meta-analysis of primary research
Low ammonia emission techniques for mineral fertilisation,exclusion,The paper does not assess the impacts of low-ammonia techniques in comparison to another fertilization technique
Low ammonia emission techniques for mineral fertilisation,exclusion,The analysis is not based on pairwise comparisons
Low ammonia emission techniques for mineral fertilisation,exclusion,The paper is not written in English
Low ammonia emission techniques for mineral fertilisation,exclusion,The full text is not available
Manure land application techniques,exclusion,The topic of the meta-analysis is out of the scope of this review.
Manure land application techniques,exclusion,The paper is neither a systematic review nor a meta-analysis of primary research.
Manure land application techniques,exclusion,The analysis is not based on pairwise comparisons
Manure land application techniques,exclusion,The paper is not written in English.
Manure land application techniques,exclusion,The full text is not available
Manure land application techniques,exclusion,"The analysis did not deal with improved manure land application techniques or dealt with other stages of manure management (e.g. processing, storage, animal housing techniques)"
Manure land application techniques,exclusion,"The paper reported studies with absolute values of emission factors, without comparing processing techniques with a reference management scenario"
Manure processing techniques,exclusion,The topic of the meta-analysis is out of the scope of this review.
Manure processing techniques,exclusion,The paper is neither a systematic review nor a meta-analysis of primary research.
Manure processing techniques,exclusion,The analysis is not based on pairwise comparisons
Manure processing techniques,exclusion,The paper is not written in English.
Manure processing techniques,exclusion,The full text is not available
Manure processing techniques,exclusion,"The analysis did not deal with manure processing techniques or dealt with other stages of manure management (e.g. storage, land application, animal housing techniques)"
Manure processing techniques,exclusion,"The analysis synthetized studies with absolute values of emission factors, without comparing processing techniques with a reference management scenario"
Manure storage techniques,exclusion,The topic of the meta-analysis is out of the scope of this review.
Manure storage techniques,exclusion,The paper is neither a systematic review nor a meta-analysis of primary research.
Manure storage techniques,exclusion,The analysis is not based on pairwise comparisons
Manure storage techniques,exclusion,The paper is not written in English.
Manure storage techniques,exclusion,The full text is not available
Manure storage techniques,exclusion,"The analysis did not deal with improved manure storage techniques or dealt with other stages of manure management (e.g. processing, land application, animal housing techniques)"
Manure storage techniques,exclusion,"The paper reported studies with absolute values of emission factors, without comparing storage techniques with a reference management scenario"
Mulching,exclusion,The topic of the meta-analysis is out of the scope of this review.
Mulching,exclusion,The paper is neither a systematic review nor a meta-analysis of primary research.
Mulching,exclusion,Is a MA of experimental trials
Mulching,exclusion,The full text is not available
Mulching,exclusion,The paper is not written in English.
Mulching,exclusion,Not proper comparison
Mulching,exclusion,No impacts on environment
Mulching,exclusion,Dataset already used in other MA for same impact
Mulching,exclusion,Not on cropland
Mulching,exclusion,Living mulch (or biological mulching)
No irrigation,exclusion,The topic of the meta-analysis is out of the scope of this review
No irrigation,exclusion,The paper is neither a systematic review nor a meta-analysis of primary research
No irrigation,exclusion,The analysis is not based on pairwise comparisons
No irrigation,exclusion,The paper is not written in English
No irrigation,exclusion,The full text is not available
No irrigation,exclusion,The intervention (no irrigation or rainfed) and/or comparator (non water-saving irrigation practices or water-saving irrigation practices) are not clear  
No irrigation,inclusion,The meta-analysis evaluates environmental or productive performance of non-irrigated or rainfed systems compared to irrigated systems (non water-saving or water-saving irrigation practices) in non-flooded and in flooded fields.
No tillage and reduced tillage,exclusion,The topic of the meta-analysis is out of the scope of this review.
No tillage and reduced tillage,exclusion,The paper is neither a systematic review nor a meta-analysis of primary research.
No tillage and reduced tillage,exclusion,The paper is a second order meta-analysis
No tillage and reduced tillage,exclusion,The analysis is not based on pairwise comparisons
No tillage and reduced tillage,exclusion,"The paper do not study the effect of no or reduced tillage variants on the environment or on crop productivity, compared to conventional tillage"
No tillage and reduced tillage,exclusion,The paper do not clearly state the intervention and comparator treatments
No tillage and reduced tillage,exclusion,The paper specifically states that data from Europe are not included
No tillage and reduced tillage,exclusion,The paper is not written in English.
No tillage and reduced tillage,exclusion,The full text is not available
Organic farming systems,exclusion,The topic of the meta-analysis is out of the scope of this review.
Organic farming systems,exclusion,The paper is neither a systematic review nor a meta-analysis of primary research.
Organic farming systems,exclusion,The analysis is not based on pairwise comparisons
Organic farming systems,exclusion,The paper is not written in English.
Organic farming systems,exclusion,The full text is not available
Organic farming systems,exclusion,"The paper report results on the effect of specific farming practices (e.g. organic fertilisation, green manure, alternative pest control techniques, etc.) which are part of organic systems, instead of the effect of the whole farming system"
Organic fertilisation,exclusion,The topic of the meta-analysis is out of the scope of this review.
Organic fertilisation,exclusion,The paper is neither a systematic review nor a meta-analysis of primary research.
Organic fertilisation,exclusion,The analysis is not based on pairwise comparisons
Organic fertilisation,exclusion,The strategy of fertilization is not clearly stated or is mixed
Organic fertilisation,exclusion,Fertilisation is combined organic + mineral fertilisers vs organic fertilisers.
Organic fertilisation,exclusion,Organic fertisation is done with crop residues
Organic fertilisation,exclusion,Results do not include experiments done in Europe
Organic fertilisation,exclusion,The paper is not written in English.
Organic fertilisation,exclusion,The full text is not available
Organic fertilisation,inclusion,Organic fertilisation is compared to unfertilised control.
Organic fertilisation,inclusion,Organic fertilisation is compared to mineral fertilisation with a specific amount of fertiliser.
Organic fertilisation,inclusion,Intervention and control have both the same amount of mineral fertilisation
Organic fertilisation,inclusion,Organic fertilisation with a smaller amount of mineral fertiliser (specified or not) compared to a control with mineral fertilisation.
Peatland conservation and restoration,exclusion,"The paper did not deal with peatlands or carbon-rich soils or the effects on peatlands could not be disentangled from those on wetlands,"
Peatland conservation and restoration,exclusion,"The paper did not compare natural peatlands with nearby degraded or restored peatlands (for peatland conservation),"
Peatland conservation and restoration,exclusion,"The paper did not compare restored peatlands with nearby or previously (i.e., comparing impacts before and after restoration) degraded peatlands,"
Peatland conservation and restoration,exclusion,"The paper was either a non-systematic review, a non-quantitative systematic review, or a meta-regression without mean effect sizes,"
Peatland conservation and restoration,exclusion,The paper is not written in English.
Peatland management,exclusion,The paper did not deal with peatlands or carbon-rich soils or the effects on peatlands could not be disentangled from those on wetlands
Peatland management,exclusion,"The paper was either a non-systematic review, a non-quantitative systematic review, or a meta-regression without mean effect sizes"
Peatland management,exclusion,The paper is not written in English.
Pesticides reduction strategies,exclusion,The paper is not written in English.
Pesticides reduction strategies,exclusion,The paper is neither a systematic review nor a meta-analysis of primary research.
Pesticides reduction strategies,exclusion,Land use is not cropland.
Pesticides reduction strategies,exclusion,The analysis is not based on pairwise comparisons
Pesticides reduction strategies,exclusion,The topic of the meta-analysis is out of the scope of this review.
Pesticides reduction strategies,exclusion,The full text is not available
Pesticides reduction strategies,exclusion,The study do not deal with the farming practice of interest (i.e. strategies for reduced pesticide input)
Pesticides reduction strategies,exclusion,The study do not deal with the outcomes of interest (i.e. environmental/climate impacts or agronomic productivity) 
Pesticides reduction strategies,exclusion,The treatment or the control are not properly specified (for treatment: need to specify that pesticide input were reduced or minimized by the use of farming practice)
Pesticides reduction strategies,inclusion,"Control: conventional system, Treatment: low input system where pesticide input is reduced or minimized due to the use of a given practice (e.g. crop mixtures, decision support systems etc.)"
Pesticides reduction strategies,inclusion,"Control: untreated (no pesticide), Treatment: low input system, minimally necessary pesticide input (less than conventional, but enough for economically viability)"
Pesticides reduction strategies,inclusion,"Control: conventional system, Treatment: no pesticide input "
Soil amendment with biochar,exclusion,The topic of the meta-analysis is out of the scope of this review.
Soil amendment with biochar,exclusion,The paper is not a quantitative meta-analysis of primary research.
Soil amendment with biochar,exclusion,The analysis is not based on pairwise comparisons
Soil amendment with biochar,exclusion,The paper is not written in English.
Soil amendment with biochar,exclusion,The full text is not available
Soil amendment with biochar,exclusion,The analysis does not deal with agronomic application
Soil amendment with biochar,exclusion,The control of the pairwise comparison is not no-biochar (biochar vs other amendments excluded).
Soil amendment with biochar,exclusion,The analysis deals with soil application of mineral- or organic-enriched biochar
Soil amendment with biochar,exclusion,not the same fertilisation conditions between intervention and control
Soil amendment with biochar,exclusion,"Deals only with non-agricultural soils, e.g. Forests restoration"
Soil amendment with biochar,inclusion,The meta-analysis describes the effects of biochar amendment versus no-biochar
Soil amendment with biochar,inclusion,The meta-analysis describes the effects of crop-residue-biochar amendment versus non-pyrolised crop residues
Soil amendment with lime and gypsum,exclusion,The topic of the meta-analysis is out of the scope of this review.
Soil amendment with lime and gypsum,exclusion,The paper is neither a systematic review nor a meta-analysis of primary research.
Soil amendment with lime and gypsum,exclusion,The paper presented a statistical analyisis of experimental trials without a systematic review process
Soil amendment with lime and gypsum,exclusion,The analysis is not based on pairwise comparisons
Soil amendment with lime and gypsum,exclusion,The paper is not written in English.
Soil amendment with lime and gypsum,exclusion,The full text is not available
Soil amendment with lime and gypsum,exclusion,The paper did not deal with environmental or productivity outcome
Water-saving irrigation practices in flooded lands,exclusion,The topic of the meta-analysis is out of the scope of this review
Water-saving irrigation practices in flooded lands,exclusion,The paper is neither a systematic review nor a meta-analysis of primary research
Water-saving irrigation practices in flooded lands,exclusion,The analysis is not based on pairwise comparisons
Water-saving irrigation practices in flooded lands,exclusion,The paper is not written in English.
Water-saving irrigation practices in flooded lands,exclusion,The full text is not available
Water-saving irrigation practices in flooded lands,exclusion,The intervention (water-saving irrigation practice in flooded lands) and/or comparator (non water-saving irrigation practice OR another water-saving irrigation practice in flooded lands) are not clear
Water-saving irrigation practices in flooded lands,inclusion,The study compares the impact of non-continous flooding practices against continuously flooding cultivation in paddy fields.
Water-saving irrigation practices in flooded lands,inclusion,The study compares the impact of one non-continous flooding practices against another non-continuous flooding practice in paddy fields.
Water-saving irrigation practices in non-flooded lands,exclusion,The topic of the meta-analysis is out of the scope of this review
Water-saving irrigation practices in non-flooded lands,exclusion,The paper is neither a systematic review nor a meta-analysis of primary research
Water-saving irrigation practices in non-flooded lands,exclusion,The analysis is not based on pairwise comparisons
Water-saving irrigation practices in non-flooded lands,exclusion,The paper is not written in English
Water-saving irrigation practices in non-flooded lands,exclusion,The full text is not available
Water-saving irrigation practices in non-flooded lands,exclusion,The intervention (water-saving irrigation practices in non-flooded lands) and/or comparator (non water-saving irrigation practice OR another water-saving irrigation practice in non-flooded lands) are not clear
Water-saving irrigation practices in non-flooded lands,inclusion,"The study compares the impact of one water-saving irrigation practice against non water-saving irrigation practices (e.g. full irrigation, surface irrigation, sprinkler irrigation, furrow irrigation, irrigation using freshwater) in non-flooded lands"
Water-saving irrigation practices in non-flooded lands,inclusion,The study compares the impact of one water-saving irrigation practice against another water-saving irrigation practice in non-flooded lands
Wetland conservation and restoration,exclusion,"The paper did not deal with wetlands or the effects on wetlands could not be disentangled from those on peatlands, "
Wetland conservation and restoration,exclusion,"The paper clearly specified that was on urban wetlands for waste water management or coastal wetlands for tidal and coast erosion regulation, otherwise, papers were included even if authors did not clearly stated that studied wetlands were under agricultural lands uses, "
Wetland conservation and restoration,exclusion,"The paper was about small wetlands (ponds), which are already explored as landscape features in a different set of fiches, "
Wetland conservation and restoration,exclusion,"The paper did not compare natural wetlands with nearby degraded or restored wetlands (for wetland conservation), "
Wetland conservation and restoration,exclusion,"The paper did not compare restored wetlands with nearby or previously (i.e., comparing impacts before and after restoration) degraded wetlands, "
Wetland conservation and restoration,exclusion,"The paper  focused on a wetland type not represented in Europe (i.e., mangroves)"
Wetland conservation and restoration,exclusion,"The paper analysed the same dataset that another synthesis paper already included in this review to explore the same impact, "
Wetland conservation and restoration,exclusion,"The paper was either a non-systematic review, a non-quantitative systematic review, or a meta-regression without mean effect sizes, "
Wetland conservation and restoration,exclusion,The paper is not written in English.
Wetland management,exclusion,"The paper did not deal with wetlands or the effects on wetlands could not be disentangled from those on peatlands,"
Wetland management,exclusion,"The paper clearly specified that was on urban wetlands for waste water management or coastal wetlands for tidal and coast erosion regulation, otherwise, papers were included even if authors did not clearly stated that studied wetlands were under agricultural lands uses,"
Wetland management,exclusion,"The paper was about small wetlands (ponds), which are already explored as landscape features in a different set of fiches,"
Wetland management,exclusion,"The paper did not deal with wetland management practices by comparing wetlands with and without the implementation of such management practice,"
Wetland management,exclusion,"The paper focused on a wetland type not represented in Europe (i.e., mangroves)"
Wetland management,exclusion,"The paper analysed the same dataset than another synthesis paper already included in this review used to explore the same impact,"
Wetland management,exclusion,"The paper was either a non-systematic review, a non-quantitative systematic review, or a meta-regression without mean effect sizes,"
Wetland management,exclusion,The paper is not written in English.
