fpid,doi,search_strategy,selection_criteria,data_analysis,scale,data_in_europe,nb_of_papers,background,objective,impact_matrix,result1,result2,result3,result4,result5,general_conclusion,knowledge_gaps
crop residue management,10.1016/j.agwat.2021.107128,"the authors used ‘straw returning’ or ‘straw mulching,’ and ‘maize’ in the keyword search to collect peer-reviewed journal articles from the china national knowledge infrastructure and web of science.","to avoid any bias, the authors selected publications with the following criteria: 1) field experiment; 2) cropping system includes maize; 3) included control (no straw returning; ck) and treatments (straw mulching or straw incorporation); 4) means, standard deviations (or standard error), and number of replications available or can be calculated; 5) included yield or water use efficiency measurements.","to derive the overall response effect of the treatments (straw mulching or straw incorporation) groups and control (no straw returning) group, the weighted response ratio (rr++) between the treatments (straw mulching or straw incorporation) groups and control (no straw returning) group was calculated. metawin2.1 was used to generate 95% confidence intervals around the logarithmic response ratios (rr) with 4999 iterations. the authors applied a t-test to determine variation in each variable between the control and treatment and the difference in rr++ between subgroups.",china,n,112,"Straw mulching and straw incorporation are widely used for conservation tillage as the primary methods of returning straw to the field. However, few studies have investigated the effects of straw mulching and straw incorporation under various agronomic management and environmental and edaphic factors.","in this study the authors undertook a meta-analysis to: 1) analyze the effects of n application rate, straw returning amount, annual average precipitation, temperature, and evaporation, and soil texture on maize yield, wue, and nue with straw mulching and straw incorporation; 2) identify suitable methods of straw returning for different temperatures, precipitation, and soil textures in china; 3) determine the appropriate of straw returning amount and n application rate.",crop yield,the meta-analysis showed that straw incorporation significantly increased maize yields (rr++: 0.0996).,NA,NA,NA,NA,straw incorporation have a positive effect on maize yield.,NA
crop residue management,10.1016/j.fcr.2018.08.001,"the meta-analysis was based on published and unpublished data.the unpublished studies were conducted by the international plant nutrient institute (ipni) china program, and a comprehensive literature survey of peer-reviewed papers from chinese rice field studies published from january 2000 to december 2016 was conducted using the china knowledge resource integrated database and web of science. the following search terms and their variations were used: rice yield, controlled or slow release fertiliser, organic fertiliser, green manure, crop residue, and secondary or micronutrients.",1) the fertilisation measures were conducted under field conditions in china; no pot or greenhouse experiments were included; 2) the study reported yield and the number of field replication; 3) conventional chemical fertiliser application was included as a control treatment; 4) the experimental and control treatments had to be applied to the same agricultural system and site.,"the meta-analysis was performed using metawin 2.1 software (rosenberg et al., 2000).",china,n,339,"Applying alternative fertilisation practices instead of conventional fertilisers might improve rice yield and nutrient use efficiency in rice cropping systems. However, the results range widely among individual studies,making generalizations difficult.","1) to comprehensively evaluate the effect of different alternative fertilisation options (slowrelease n fertiliser, organic fertiliser, straw return, green manure, and secondary/micronutrient fertiliser) on rice yield and nue relative to conventional chemical fertiliser application in chinese rice cultivation; 2) to investigate how the magnitude of the yield response varies with rice type (early, middle, late, and single season rice); 3) to determine the maximum proportion of conventional chemical nitrogen input that can be substituted with alternative fertilisation options without causing a decrease in rice yield. here, only results regarding the effect of green manures on rice yields are reported.",crop yield,"there was a significantly positive yield response of early, middle, and late rice to straw return relative to straw removal, with percentage changes of 8.4%, 5.1%, and 4.8%, respectively. the overall magnitude of the yield response to straw return was 5.4%.","there was no significant yield response of single rice to straw return compared to straw removal, and this trend was also observed in response to the application of organic fertilisers.",NA,NA,NA,there was an overal positive effect of straw return on yield (5.4%).,NA
crop residue management,10.1111/gcb.14466,"we used several databases such as web of science, google scholar, china national knowledge infrastructure database, china wanfang data, current contents connect (isi), academic search complete (ebsco), scopus, and cab abstracts to search peer‐reviewed publi- cations (before august 2018) related to the effects of straw return on various nr losses, crop productivity, and soil c sequestration. the keywords used in the search included “crop straw or crop residue or crop stubble,”“nr losses (nh3 emissions, n2o emissions, n leaching, and runoff), soc content, crop productivities (crop yield, crop n uptake, and n use efficiency (nue)) and/or other soil properties.”","1) the control (mineral n fertilisation) and straw treatment (mineral n fertilisation plus straw return) received equal mineral n fertilisation rates, which indicated that the straw treatment provided additional straw n supply to soils; 2) publications needed to report on at least one of the target variables and sample sizes for the con- trol and treatment plots. multiple observations that were conducted at the same experimental site over several sampling years were aver- aged; 3) the observation duration of the experiment must have covered the main discharge period of various nr losses.","mean effect sizes and the 95% confidence intervals (cis) were generated by a bootstrapping procedure with 4,999 iterations, using metawin 2.1. effects of straw return were considered significant if the 95% cis did not overlap with zero. the means of the categorical variables were consid- ered significantly different from each other if their 95% cis did not overlap.",global,y,363,"It is widely recommended that crop straw be returned to croplands to maintain or increase soil carbon (C) storage in arable soils. However, because C and nitrogen (N) biogeochemical cycles are closely coupled, straw return may also affect soil reactive N (Nr) losses, but these effects remain uncertain, especially in terms of the interac- tions between soil C sequestration and Nr losses under straw addition.","this paper is aimed to: 1) evaluate the overall effects of straw return on various nr loss pathways (nh3 emissions, n2o emissions, n leaching, and runoff), crop productivity and soil c sequestration in agroecosystems under different environ- mental and management conditions (straw quality and quantity, soil properties, agricultural management, and climate conditions); 2) explore the interactions between various nr losses and soc sequestration following straw return; 3) estimate how straw return has affected nr losses from global croplands and the overall cropland nr balance for the period 2005−2015.",crop yield,"overall, straw return significantly increased crop yield by 5.1% (n = 636) in global agroecosystems, with a similar increase in 5.3% (n = 214) for rice paddies and 4.9% (n = 422) for upland crops.","the increase in crop yield was significantly and positively cor- related with mineral n fertilisation rate (p < 0.01), straw n input rate (p < 0.01), and mean annual temperature (mat; p < 0.001; table 2)",NA,NA,NA,"overall, straw return significantly increased crop yield by 5.1% (n = 636) in global agroecosystems.",NA
crop residue management,10.1111/gcb.15796,"we used several databases, such as web of science, google scholar and scopus to search peer-reviewed publications (before april 2020). the keywords used in the search were “cropland or crop or wheat or maize or barley or rice,” “soc or soil organic matter,” and/or “ch4, n2o and yield (grain).","studies related to the management practices investigated were then selected. each study selected contains measurements of ghg emissions for both control and treatment management practices. studies with the following measurements were excluded: (i) measurements made in pot, laboratories or greenhouses and (ii) measurements conducted in organic (peaty) soils where n2o are much higher than those in mineral soils and where soil carbon fluxes are different (ipcc, 2006).","studies related to the management practices investigated were then selected. each study selected contains measurements of ghg emissions for both control and treatment management practices. studies with the following measurements were excluded: (i) measurements made in pot, laboratories or greenhouses and (ii) measurements conducted in organic (peaty) soils where n2o are much higher than those in mineral soils and where soil carbon fluxes are different (ipcc, 2006).",global,y,73,"Smart cropland management practices can mitigate greenhouse gas (GHG) emissions while safeguarding food security. However, the integrated effects on net greenhouse gas budget (NGHGB) and grain yield from different management practices remain poorly defined and vary with environmental and application conditions.",evaluate the integrated effects of alternative management practices on cropland net greenhouse gas budget and grain yield,crop yield,positive effect of straw return on crop yield in paddy rice,no effect of straw return on upland crops,NA,NA,NA,positive effect on paddy rice yield. no effect on yield of upland crops,NA
crop residue management,10.1371/journal.pone.0231740,"experimental research papers were identified via a search for field-based reports on the effects ofcrop residue return on crop yields and wue that were published prior to 2018. chinese and english databases were used, including the china knowledge network, weipu, wanfang, web ofscience, springer, engineering village, and google scholar. the keywords included “straw”, “mulching”, “residue”, and “yield”.","the studies were selected using the following criteria: 1) the experiment must have been conducted in the field; 2) the experimental duration must have been >= 2 years; 3) there were >= 3 replicates; 4) the test site and year were clearly identified; 5) the test treatments included both crop residue return and no return; 6) in cases where many years of production data were included, only the most recent year was used.","meta-analysis was performed using metawin 2.1 software. the mean effect sizes were evaluated with a random-effects model. the 95% ci for each mean effect size was estimated by applying bootstrapping with 4999 iterations. mean effect sizes were considered significantly different when the 95% cis did not overlap, and the gaussian distribution lines were made using origin 8.5 software. the images were processed using graphpad prim 6.0 software.",china,n,39,"Although there has been extensive research on the effects of crop residue return, the results are inconsis- tent or contradictory because of differences in soil conditions, planting systems, and climatic conditions.",the authors conducted a meta-analysis to evaluate the impacts of crop residue return on crop yields and wue relative to those of crops grown without crop residue treatment (referred to here as no-straw).,crop yield,"the overall effect of crop residues return on crop yield was positive, but it was significantly affected by crop type (p < 0.05).","the results for soybean, rape, and pea overlapped zero, suggesting no significant effect ofcrop residue return on their yields. wheat crops had the smallest increase in yield associated with crop residue return (2.7%). the effects ofcrop residue return on the yields ofrice and corn crops were 5.3% and 8.0%, respectively.",the increases in yields attributed to crop residue return were affected little by mean annual temperature and soil total n content.,"the highest increases in yield occurred for cases with rainfall > 800 mm (9.5%), ploughing depths of > 20 cm (6.5%), corn crops (8.0%), crops with a full year ofripening (10.1%), no irrigation (11.9%), nk fertiliser (20.0%), low rates of n application (0–100 kg n ha-1; 10.8%), organic matter contents > 15 g kg-1 (9.4%), effective nitrogen contents >100 mg kg-1 (10.3%), and ph < 6.5 (11.2%).",NA,"the meta-analysis showed that crop yields increased by an average of 5.0% when crop residue return was used, compared to no-straw treatment.",NA
crop residue management,10.3390/ijerph19127324,"peer-reviewed journal articles were systematically searched in the web of science database, with the search term combinations [fertiliser managements or fertilisation or nitrogen] and [ch4 emission or ch4] and [rice or paddy field].","(1) the study conducted in situ soil ch4 flux measurements for one growing season at least; (2) soil ch4 flux could be extracted from the text, tables, and figures directly, or could be calculated from the cumulative soil ch4 emissions and the rice growth period; (3) the study clearly described the fertilisation practice used. when one publication applied multiple fertilisation and water management regimes, different data under the same water management conditions were chosen and considered to be different observations.",not reported,asia,n,34,"At present, it is clear that different management practices such as irrigation and fertilisation have a strong impact on soil CH4 production and oxidation processes, and thus affect CH4 emissions in paddy fields. However, few studies have reported the effects of different water and fertiliser management practice regimes on CH4 emissions from paddy soils comprehensively.","the objectives of this study were to (1) quantify the effects of different water and fertiliser management practices on ch4 emissions from paddy fields, and (2) put forward environmentally friendly water and fertiliser management practices that can increase yield and also decrease ch4 emissions.",crop yield,application of straw had no effect on rice yield.,NA,NA,NA,NA,"compared with no fertiliser, the addition of straw had no effect on rice yield.","to achieve a win–win field management strategy for lowering soil ch4 emissions and increasing rice yields, studies need to focus on the interactions among fertilisers, intermittent irrigation, and the associated underlying microbial mechanisms, thus building comprehensive models to improve our understanding and achieving sustainable development in agricultural ecosystems."
crop residue management,10.3390/land11050645,"the authors searched for peer-reviewed publications investigating the effectiveness of measures to address compacted (sub)soils, using web of science and china knowledge resource integrated database (cnki, for chinese studies not published in english language). search terms were (“soil compaction” or “compacted soil” or “compacted subsoil” or “subsoil compaction”) and (“yield” or “biomass”) and (“density” or “penetration” or “soil cone index”) in titles, keywords, and abstracts.","in web of science, conference proceedings and non-english publications were excluded. the search process was followed by a screening procedure that was based on the following criteria: 1) field studies must include side by side comparisons of soil compaction prevention, remediation and/or alleviation treatments, and control (or reference) treatments; 2) for each paired comparison, treatments and reference treatments have the same location, cropping system, cropping management, and year; 3) grain yields and/or biomass yields were reported; 4) soil bulk density and/or soil penetration index data were reported; 5) the test crops were cereals, including wheat, maize, barley, oat, and sorghum; 6) location(s), year(s), and basic soil information of the experiment(s) were stated. only studies with cereal crops as test crops were included. one","for the calculation of a grouped effect size, a linear mixed-effect model was used for which we used the r-package ‘nlme’. results of treatments addressing soil compaction were set as fixed effects and study numbers were set as random effects, to allow accounting for variances among studies. we used the equal weighting method (e.g., [35]) when comparing studies with different number of replicates.",global,y,77,"The compaction of subsoils in agriculture is a threat to soil functioning. Measures aimed at the prevention, amelioration, and/or impact alleviation of compacted subsoils have been studied for more than a century, but less in smallholder agriculture.","1) to quantitatively examine the effects of measures aimed at avoiding and ameliorating soil compaction and at alleviating the impacts of compacted subsoils on crop yield, soil bulk density, and soil penetration resistance, using results of published studies; 2) to examine the effectiveness of measures in smallholder and mechanized agriculture.",crop yield,mean effect size were significantly positive for residue return.,NA,NA,NA,NA,residue return has a positive effect on cereal yield.,NA
crop residue management,10.1002/ldr.3492,"the data for the present meta-analysis were collected from published peer-reviewed experimental studies that reported changes in soil quality, environmental impacts, and crop production indicators responding to rr compared with residues removed in china's croplands from the web of science (before the year of 2017, http://apps.webofknowledge.com.proxy.insermbiblio.inist.fr/) and the china knowledge resource integrated database (before the year of 2017, http://www.cnki.net/) with the key words of 'residue or straw,' 'retain or retention or return or mulch or incorporation,' and 'china.'","(a) the experiment was designed as side-by-side paired-plot field studies with well-defined control composing of crop residues removal treatment as rr in china's croplands (mainland china); (b) other field managements that were clearly stated or described as 'similar field managements were conducted involving both controls and treatments' (e.g., the same cropping intensity, irrigation, and fertilisation); (c) one or more variables of soil quality, crop production, and environmental impacts parameters were obtainable with the same sampling and measuring methods under rr and residues removed treatments; and (d) location for each field experiment was provided.","a random-effect meta-analysis was conducted to assess crop residues removal(rr)-induced changes for microbial biomass carbon. the weighted mean effect size (lnr++) and 95% confidence interval were generated by bootstrapping through 4,999 iterations.",china,n,278,"Crop residue retention (RR) is a recommended practice in China and globally. However, comprehensive assessment of changes and mechanisms affecting crop production and soil processes with RR and thus identifying systems of sustainable residues management are not widely studied.","the objectives of the present study were to (a) compile a national dataset of published literatures and conduct a national meta-analysis on the positive and negative responses of soil quality, environmental impacts, and crop production under rr; (b) identify the combined effects of different farming practices with rr; (c) determine the interactive relationships among these indicators; and finally (d) hypothesize possible mechanisms on how rr affects crop production and soil processes.",ghg emissions,"under residues retention (rr) compared with residue removed, significant increases in ghgs emissions were observed.","among them, rr significantly increased ch4 emission by 130.9% (p < .05), which was the highest followed by n2o (12.2%, p < .05) emissions.",NA,NA,NA,"residue retention in china's croplands increase emissions of greenhouse gases (by 130.9% and 12.2% for ch4 and n2o, respectively).",NA
crop residue management,10.1007/s13593-021-00715-x,"we used web of science, google scholar, and china national knowledge to search for publications focusing on the comprehensive analysis of residue return and its effect on soil n losses, published before 11 january 2020. the search terms were “(residue or straw or organic amendment)” and “(n2o emission or no3− leaching).”","(a) the study was based on practice-relevant field, mesocosm, and lysimeter experiments, excluding lab experiments; (b) n losses (n2o emission or no3− leaching) in the experiment were measured for at least one growing season (observations made over several growing seasons were averaged); (c) experimental and control plots had been established in the same ecosystem and included at least one comparison of n losses; (d) statistical information such as mean values of n2o emission and no3− leaching, standard deviation (sd), and samples size in the experiment were directly extractable from the tables of the published articles, or were extracted from the graphs with the getdata graph digitizer software (version 2.26: http://getdata-graph-digitizer.com/download.php).","weighted mean effect sizes were calculated. the 95% bootstrap confidence interval (ci) of lnrr was calculated according to curtis and wang (1998) by bootstrapping 4999 iterations (rosenberg et al. 1997). the statistical tests were considered significant at the p < 0.05 level. all of the meta-analysis procedures were conducted using metawin 2.1 software (sinauer associates, inc., sunderland, ma, usa), and statistical analyses were performed using spss 21.0 (ibm deutschland gmbh, ehningen, germany) for windows. potential publication bias was analyzed with funnel plot analysis and egger’s indicator test (egger et al. 1997) with the stata statistical software (version 16, 2019, statacorp llc, college station, tx, usa), using a 95% confidence interval.",global,y,90,"Incorporation of crop residues into the soil has been widely recommended as an effective method to sustain soil fertility and improve soil carbon sequestration in arable lands. However, it may lead to an increase in the emission of nitrous oxide (N2O) and leaching of nitrate (NO3−) to groundwater due to higher nitrogen (N) availability after crop residue incorporation.","evaluate the effects of crop residue return on soil n2o emissions for different locations, climatic and soil conditions, and agricultural management strategies.",ghg emissions,"upland soil amended with crop residues showed a significant increase of n2o emission, which was 46% higher than control. conversely, it decreased the n2o emission by 18% in paddy soil.",NA,NA,NA,NA,crop residue return increases n2o emission in upland soils while it decreases n2o emission in paddy soils.,the determination of the optimal tillage frequency with crop residue return requires further study.
crop residue management,10.1016/j.agee.2018.07.019,"data were compiled from 156 published experimental studies by extensively searching google scholar, web of science (1900–2017), china knowledge resource integrated database (avail- able online), and baidu scholar.","1) the experimental duration and land use were clearly recorded and the measurements of treatment and control groups were conducted within the same temporal and spatial scales; 2) crop residue was added di-rectly to the agroecosystem and paired data (control and treatment) for at least one of the chosen variables was reported; 3) studies with an experimental duration less than one year were excluded to avoid short-term noise; 4) the control and treatment plots started with the same soil type, n fertiliser application rate, climatic conditions, crop species, and other conditions; (5) the primary data—from which means, standard deviations (sd), or standard errors (se), and sample sizes (n) could be calculated—were directly provided or these statistics could be calculated from the results.","the average response ratio was calculated using the mixed model of the meta-analytical software, metawin 2.0. the variance in the mean effect size was calculated using resampling methods. if the 95% ci value of rr++ for a response variable overlapped with zero, the response ratio was not significant. to test the influence of categorical classes, the total heterogeneity among groups (qt) was partitioned into within-group heterogeneity (qw) and between-group heterogeneity (qb).",global,y,156,"The return of crop residue to the soil has been suggested as a nutrient-conserving practice that effectively increases soil fertility and crop nutrition. However, the overall direction and magnitude of changes in the agroecosystem nitrogen (N) cycle in response to crop residue return are poorly quantified.",the present a global synthesis of the agroecosystem n cycle in response to crop residue return so that the efficacy of this practice for agricultural sustainability can be rigorously evaluated.,ghg emissions,crop residue return had no effect on n2o emission across all studies.,NA,NA,NA,NA,"the results have shown that greenhouse gas emission (e.g., n2o emission) were not significantly increased by crop residue return in paddy fields.",NA
crop residue management,10.1016/j.scitotenv.2021.152532,peer-reviewed research articles published before 1 january 2021 were searched in google scholar and web of science with the following keywords: “residue” or “straw” or “stubble” and “nitrous oxide” or “n2o” or “greenhouse gas” or “ghg” or “emission factor”.,"(i) the experimental design had to be sufficiently detailed regarding the treatments and recent history; (ii) included treat- ment replicates; and (iii) were conducted under realistic field conditions. all the studies included pairwise comparisons in which all factors (e.g., fertilisation, irrigation, tillage practices) were the same for the treat- ment (with crop residue retention) and control (with crop residue removal) groups. for grassland, we compared permanent grassland (control) to grassland termination (treatment), the analogous practice to crop residue incorporation in these systems.","the authors used the log response ratio (lnrr) as effect size, which is a common metric in meta-analyses. they performed a weighted mixed-effects meta-analysis, using the rma.mv func- tion of the ‘metafor’ package, including “study” as a random effect because several studies contributed more than one effect size. effect sizes from individual comparisons were weighted by the inverse of their variance. missing variances were estimated using the average coficient of variation across the dataset. we used awald test to evaluate statistical differences between subgroups within categories at p-value < 0.05.",global,y,78,"Crop residue incorporation is a common practice to increase or restore organicmatter stocks in agricultural soils. How- ever, this practice often increases emissions of the powerful greenhouse gas nitrous oxide (N2O). Previous meta- analyses have linked various biochemical properties of crop residues to N2O emissions, but the relationships between these properties have been overlooked, hampering our ability to predict N2Oemissions from specific residues.",the objective of this meta-analysis was to synthesise the results of field studies measuring the effect of crop residue retention on soil n2o emissions. the authors aimed to identify the main drivers of soil n2o emissions associated with the application of crop residues and to rank their importance.,ghg emissions,"averaged across all studies, crop residue retention increased n2o emissions by 43% (95% ci: 23–66%; p < 0.001).","the differences between crop types were large. crop residues increased n2o emissions for cover crops (50%, ci: 19–88%), grasslands (216%, ci: 114–366%) and vegetables (183%, ci: 85–334%), but not for cereals, grain legumes, rice or sugar cane","the random-meta-forest approach identified n returned with crop residues, wsc, cellulose, lignin, hemicellulose and soluble nds fraction as the most important predictors of crop residue effects on n2o emissions. model selection analysis based on akaike weights confirmed the importance of these predictors, as all of them reached the threshold of 0.8. the importance of residue quality properties was therefore higher than that of the soil properties and climatic factors included in the random-meta-forest analysis.","crop residue-derived n2o emissions decreased with increasing values of cellulose, whereas intermediate hemicellulose values (~30%) were associated with the lowest lnrr. the effects of cellulose (aic = 592.87, n = 346) and hemicellulose (aic = 612.05, n = 345) on n2o emissions from crop residues were not affected by fertiliser application either. the effects of cellulose (aic = 592.87, n = 346) and hemicellulose (aic = 612.05, n = 345) on n2o emissions from crop residues were not affected by fertiliser application either.",NA,"on average, crop residue incorporation increased soil n2o emissions by 43%compared to residue removal, however crop residues led to both increases and reductions in n2o emissions.",NA
crop residue management,10.1016/j.scitotenv.2022.154388,"mitigation measures for n2o emissions from crop residues were collated from the literature using isi web of science, scopus and google scholar. the search terms were: “residue” or “straw” or “stubble” and “nitrous oxide” or “n2o” or “greenhouse gas” or “ghg” or “emission factor” and “measure” or “strategy”.","the autors conducted a meta-analysis using an extended version (as described below) ofthe database compiled by rittl et al. (2022). crop residues are considered as any above- ground plant component of a crop returned to the soil. the database consisted of 367 selected pairwise comparisons reported in 78 studies, which met predetermined quality criteria (only studies with replication, with detailed information, and performed under realistic field conditions). pairwise comparisons only included observations where a treatment (i.e., with crop residue retention) and a control (i.e., with crop residue removal) could be compared with all other factors unchanged.","after screening the literature, the measures were categorized according to: residue physical management, residue incorporation timing, interactions with fertilisation, additives and crop residue modifications, crop type, and edaphoclimatic conditions. 
we conducted a weighted mixed-effects model meta-analysis using the “rma.mv” function from r package “metafor” (viechtbauer, 2010). since several studies contributed more than one paired observation, we consid- ered “study” and “observation” as random factors in the mixed-effects models. for ease of interpretation, the overall effect size was converted into percentage change, i.e., (elnr − 1) ∗ 100%. we considered the effect size to be significant (i.e., it changes n2o emissions compared to crop resi- due removal) when the 95%ci ofexperimental classes did not include zero. to evaluate statistical differences between sub-groups within mitigation measures, we used a wald-type test.",global,y,75,"Crop residues are of crucial importance to maintain or even increase soil carbon stocks and fertility, and thereby to ad- dress the global challenge of climate change mitigation. However, crop residues can also potentially stimulate emis- sions of the greenhouse gas nitrous oxide (N2O) from soils. A better understanding of how to mitigate N2O emissions due to crop residue management while promoting positive effects on soil carbon is needed to reconcile the opposing effects of crop residues on the greenhouse gas balance of agroecosystems.",the authors combine a literature review and a meta-analysis to identify and assess measures for mitigating n2o emissions due to crop residue application to agricultural field.,ghg emissions,n2o emissions from surface-applied or incorporated residues are not significantly different due to the large variation within each category.,"although the effect was not significant, the meta-analysis indicates a trend for higher n2o emissions when crop residues were incorporated at depth (>15 cm) as compared to a shallower incorporation (p ≤ 0.10).",the meta-analysis did not find an effect of the season in which crop residues are incorporated on the magnitude of n2o released.,NA,NA,crop residues deep incorporation into the soil has no effect on n2o emissions compared to shallow incorporation. crop residues shallow incorporation has no effect on n2o emissions compared to crop residues surface applied.,"knowledge gaps include the interactions between management, climate and residue composition that make emissions difficult to predict at regional and global scales. if future research confirms the n2o mitigation potential of residue mixtures, they can be implemented in many agroecosystems: multi-species swards in grasslands, cover crops, diversified crop rotations (effects such as changes in decomposer communities are expected to act over longer time-frames than a cropping season), and also in intercropping. 
previous meta-analyses have found lower n2o emissions after crop residue application to fields for soils with a high clay content. this implies that avoiding crop residue incorporation in coarse-textured soils whenever possible could be an n2o mitigation strategy. from a climate change perspective, this may provide a dual benefit: fine-textured soils, which have the highest potential to sequester c via crop residue incorporation, may be the ones with the lowest n2o emissions after crop residue incorporation, particularly if the initial soc content is low. this needs to be confirmed in future studies, since the positive relationship between soil clay content and the capacity of soil to store c is not always consistent, and because increases in soc may eventually lead to higher n2o emissions."
crop residue management,10.1016/j.still.2021.105142,"peer-reviewed publications were collected by searching web of science (http://apps.webofknowledge.com) and china national knowledge infrastructure database (https://www.cnki.net) with various combinations of keywords “nitrous oxide” or “n2o,” “nitric oxide” or “no,” and “agricultural soils.”","(i) the n2o and no emissions were simultaneously measured during at least a whole growing season; (ii) only the field measurements were included, without considering incubation, pot and lysimeter experiments or modelling results; (iii) the experiments on upland soils and paddy soils during the non-waterlogging period were included, without considering those on the flooded paddy soils; and (iv) the spatial replicates and standard deviation of each treatment were clearly recorded.","mean effect size and the 95 % confidence intervals were generated by a bootstrapping procedure with 999 iterations using metawin 2.1 (rosenberg et al., 2000). the management effects were back-transformed and reported as percentage changes ([rr-1] × 100). the effects were considered significant if the 95 % confidence intervals did not overlap with zero.",global,y,39,The development of management strategies that mitigate N2O and NO emissions without crop productivity penalties remains a great challenge.,quantify the effects of various management practices on n2o and no emissions and crop yields by performing a pairwise meta-analysis.,ghg emissions,"returning crop residues increased n2o emissions (by 12.9 %), which supports the initial hypothesis, i.e., fresh crop residues promote denitrification by releasing labile organic carbon substrates and generating anaerobic conditions through decomposition.",NA,NA,NA,NA,"returning crop residues increased n2o emissions (by 12.9 %), fresh crop residues promote denitrification by releasing labile organic carbon substrates and generating anaerobic conditions through decomposition.",NA
crop residue management,10.1111/gcb.14466,"we used several databases such as web of science, google scholar, china national knowledge infrastructure database, china wanfang data, current contents connect (isi), academic search complete (ebsco), scopus, and cab abstracts to search peer‐reviewed publi- cations (before august 2018) related to the effects of straw return on various nr losses, crop productivity, and soil c sequestration. the keywords used in the search included “crop straw or crop residue or crop stubble,”“nr losses (nh3 emissions, n2o emissions, n leaching, and runoff), soc content, crop productivities (crop yield, crop n uptake, and n use efficiency (nue)) and/or other soil properties.”","1) the control (mineral n fertilisation) and straw treatment (mineral n fertilisation plus straw return) received equal mineral n fertilisation rates, which indicated that the straw treatment provided additional straw n supply to soils; 2) publications needed to report on at least one of the target variables and sample sizes for the con- trol and treatment plots. multiple observations that were conducted at the same experimental site over several sampling years were aver- aged; 3) the observation duration of the experiment must have covered the main discharge period of various nr losses.","mean effect sizes and the 95% confidence intervals (cis) were generated by a bootstrapping procedure with 4,999 iterations, using metawin 2.1. effects of straw return were considered significant if the 95% cis did not overlap with zero. the means of the categorical variables were consid- ered significantly different from each other if their 95% cis did not overlap.",global,y,363,"It is widely recommended that crop straw be returned to croplands to maintain or increase soil carbon (C) storage in arable soils. However, because C and nitrogen (N) biogeochemical cycles are closely coupled, straw return may also affect soil reactive N (Nr) losses, but these effects remain uncertain, especially in terms of the interac- tions between soil C sequestration and Nr losses under straw addition.","this paper is aimed to: 1) evaluate the overall effects of straw return on various nr loss pathways (nh3 emissions, n2o emissions, n leaching, and runoff), crop productivity and soil c sequestration in agroecosystems under different environ- mental and management conditions (straw quality and quantity, soil properties, agricultural management, and climate conditions); 2) explore the interactions between various nr losses and soc sequestration following straw return; 3) estimate how straw return has affected nr losses from global croplands and the overall cropland nr balance for the period 2005−2015.",ghg emissions,"crop type significantly regulated the effects of straw return on soil n2o emissions, which significantly decreased by 17.3% (n = 82) for rice paddies but significantly increased by 21.5% (n = 196) for upland crops.",NA,NA,NA,NA,"crop type significantly regulated the effects of straw return on soil n2o emissions, which significantly decreased by 17.3% (n = 82) for rice paddies but significantly increased by 21.5% (n = 196) for upland crops.",NA
crop residue management,10.1111/gcb.15796,"we used several databases, such as web of science, google scholar and scopus to search peer-reviewed publications (before april 2020). the keywords used in the search were “cropland or crop or wheat or maize or barley or rice,” “soc or soil organic matter,” and/or “ch4, n2o and yield (grain).","studies related to the management practices investigated were then selected. each study selected contains measurements of ghg emissions for both control and treatment management practices. studies with the following measurements were excluded: (i) measurements made in pot, laboratories or greenhouses and (ii) measurements conducted in organic (peaty) soils where n2o are much higher than those in mineral soils and where soil carbon fluxes are different (ipcc, 2006).","studies related to the management practices investigated were then selected. each study selected contains measurements of ghg emissions for both control and treatment management practices. studies with the following measurements were excluded: (i) measurements made in pot, laboratories or greenhouses and (ii) measurements conducted in organic (peaty) soils where n2o are much higher than those in mineral soils and where soil carbon fluxes are different (ipcc, 2006).",global,y,73,"Smart cropland management practices can mitigate greenhouse gas (GHG) emissions while safeguarding food security. However, the integrated effects on net greenhouse gas budget (NGHGB) and grain yield from different management practices remain poorly defined and vary with environmental and application conditions.",evaluate the integrated effects of alternative management practices on cropland net greenhouse gas budget and grain yield,ghg emissions,increase of ch4 emission in paddy rice,unclear effect on ch4 emission in upland crops,no effect on n2o emission in paddy rice,no effect on n2o emission in upland crops,NA,straw return increases ch4 emission in paddy rice while it has uncertain effect in upland crops. straw return has no effect on n2o emission both in paddy rice and in upland crops.,NA
