fpid,type,text,footnotes
Fallowing,What does the definition of the FP include?5,Green fallow: land sown exclusively for the production of green manure ,NA
Fallowing,What does the definition of the FP include?6,"This review does not include short and seasonal fallowing periods of annual crops, i.e., summer or winter fallows, whether soils are left bare or are shown with cover crops or green manures. These two practices are assessed in separate sets of fiches. ",NA
Fallowing,What does the definition of the FP include?7,This review includes spatial and temporal comparisons between fallow lands and cultivated arable lands. Spatial comparisons were simultaneously conducted between nearby fallows and cultivated lands. Temporal comparisons were conducted in the same land before and during fallowing. ,NA
Grassland conservation and restoration,FP ID,Grassland conservation and restoration,NA
Grassland conservation and restoration,Definition of the farming practice1,"Grasslands are areas of land predominantly covered by communities of grass-like plants and forbs and may include sparsely occurring trees and shrubs. In the Eurostat classification, percentages of area covered by such canopies are limited to less than 10 % in the case of trees and to less than?20 % in the case of shrubs (i.e., low woody plants capable of reaching heights of up to 5 metres)",https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Glossary:Shrubland
Grassland conservation and restoration,Definition of the farming practice2,or shrubs and trees together.,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Glossary:Grassland
Grassland conservation and restoration,Definition of the farming practice3,"However, in the scientific literature reviewed here, grasslands are usually more broadly defined and might not fully meet such canopy limits. ",NA
Grassland conservation and restoration,Definition of the farming practice4,"This review includes a wide variety of grassland types: savannah, grassy deserts, seasonally flooded grasslands, prairies, meadows, pastures, rangelands, salt-marshes, bioenergy perennial grasslands, calcareous grasslands and wooded grasslands. Grasslands differ in terms of: management intensity (natural, semi-natural, improved and intensively managed), management history: permanent and temporary, successional stage (old successional and secondary grasslands), biomes and climates (semi-arid, temperate, tropical, Mediterranean, tundra, alpine, subalpine, artic and subartic).",NA
Grassland conservation and restoration,Definition of the farming practice5,Fodder crops are not included as grasslands.,NA
Grassland conservation and restoration,Definition of the farming practice6,"Grassland conservation refers to the preservation (i.e., no transformation to other land uses) of old successional natural grasslands. Old successional natural grasslands are grasses and forbs communities with no major human-induced structural or functional alterations so that their current management closely resembles historical, endogenous disturbance regimes (e.g., grazing intensity and fire frequency).","Nerlekar & Veldman. 2020. High plant diversity and slow assembly of old-growth grasslands. PNAS 117, 18550-18556."
Grassland conservation and restoration,Definition of the farming practice7,"In the scientific literature, these ecosystems are also referred as old-growth, ancient, remnant or native grasslands.",NA
Grassland conservation and restoration,Definition of the farming practice8,"Grassland restoration includes active and passive restoration methods usually aiming at enhancing plant community diversity, what is then expected to have cascading positive effects in higher trophic levels.","Sexton & Emery. 2020. Grassland restorations improve pollinator communities: a meta-analysis. Journal of Insect Conservation 24, 719-726."
Grassland conservation and restoration,Definition of the farming practice9,"This review includes several restoration methods: sowing of seed mixtures, addition of soil and hay, reintroduction of grazing and burning as active restoration methods, and abandonment of agricultural use as passive restoration method. In this review, we only consider the restoration of former grassland areas degraded by agricultural use (i.e., degradation due to mining or other land uses are excluded). We define secondary grasslands as the herbaceous communities that assemble after destruction (here, by agricultural use) of old successional natural grasslands, where the restoration efforts are conducted",NA
Grassland conservation and restoration,What does the definition of the FP include?1,"For the exploration of grassland conservation, this review includes the spatial comparison between preserved old successional natural grasslands (intervention) and nearby secondary grasslands, either restored or degraded, as comparator. ",NA
Grassland conservation and restoration,What does the definition of the FP include?2,"For the exploration of grassland restoration, this review includes spatial and temporal comparisons between restored grasslands (intervention) and croplands or secondary grasslands after crop abandonment as controls. Spatial comparisons are those conducted simultaneously between restored grasslands and nearby croplands (or secondary grasslands after crop abandonment). Temporal comparisons are those conducted in the same site before (when land use was cropland or abandoned cropland) and after restoration into grassland. ",NA
Grassland conservation and restoration,What does the definition of the FP include?3,"In this review, grassland restoration includes restoration into different types of grasslands, including perennial bioenergy grasslands. ",NA
Grassland conservation and restoration,What does the definition of the FP exclude?1,"This review does not include grazing or other management practices (i.e, soil amendment and fertilisation, mowing, increasing grass species richness) conducted in grasslands, which are assessed in separate sets of fiches. ",NA
Grassland management,FP ID,Grassland conservation and restoration,NA
Grassland management,Definition of the farming practice1,"Grasslands are areas of land predominantly covered by communities of grass-like plants and forbs and may include sparsely occurring trees and shrubs. In the Eurostat classification, percentages of area covered by such canopies are limited to less than 10 % in the case of trees and to less than?20 % in the case of shrubs (i.e., low woody plants capable of reaching heights of up to 5 metres)",https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Glossary:Shrubland
Grassland management,Definition of the farming practice2,or shrubs and trees together.,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Glossary:Grassland
Grassland management,Definition of the farming practice3,"However, in the scientific literature reviewed here, grasslands are usually more broadly defined and might not fully meet such canopy limits. ",NA
Grassland management,Definition of the farming practice4,"This review includes a wide variety of grassland types: savannah, grassy deserts, seasonally flooded grasslands, prairies, meadows, pastures, rangelands, salt-marshes, bioenergy perennial grasslands, calcareous grasslands and wooded grasslands. Grasslands differ in terms of: management intensity (natural, semi-natural, improved and intensively managed), management history: permanent and temporary, successional stage (old successional and secondary grasslands), biomes and climates (semi-arid, temperate, tropical, Mediterranean, tundra, alpine, subalpine, artic and subartic).",NA
Grassland management,Definition of the farming practice5,Fodder crops are not included as grasslands.,NA
Grassland management,Definition of the farming practice6,This review includes several interventions on grasslands:,NA
Grassland management,Definition of the farming practice7,"Soil organic amendments are materials of plant or animal origin that can be added to soil, such as manures, biosolids, green wastes, and composts, to improve the soil quality in terms of its structure and biochemical function.","Diacono, M, and Montemurro, F. 2010. Long-term effects of organic amendments on soil fertility. A review. Agronomy for Sustainable Development, 30, 401-422."
Grassland management,Definition of the farming practice8,"This includes also biochar, which is charcoal produced by pyrolysis of biomass in the absence of oxygen.",NA
Grassland management,Definition of the farming practice9,"Enhanced-efficiency fertilisers (EEF) are different types of fertilisers or products associated to fertilisers, which have been developed to better synchronize fertiliser nitrogen (N) release with crop uptake, offering the potential for enhanced N-use efficiency (NUE) in crops and reduce losses","Li, T , Zhang, W , Yin, J , et al. 2018. Enhanced-efficiency fertilizers are not a panacea for resolving the nitrogen problem. Global Change Biology, 24, e511- e521."
Grassland management,Definition of the farming practice10,"This review includes the use of different types of EEF, namely nitrification inhibitors, urease inhibitors and polymer-coated fertilisers.",NA
Grassland management,Definition of the farming practice11,"Fertilisers are natural or synthetic substances containing chemical elements such as nitrogen, phosphorus (P) and potassium (K) that are applied to soils to improve growth and productiveness of plants.",https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Glossary:Fertiliser
Grassland management,Definition of the farming practice12,This review includes the use of both mineral and organic conventional fertilisers.,NA
Grassland management,Definition of the farming practice13,Mowing is a harvesting practice consisting on cutting the grass.,NA
Grassland management,Definition of the farming practice14,"Grazing is a method of animal husbandry in which livestock are allowed to feed outdoors consuming wild vegetation. Please, note that in this set of fiches grazing is only explored when compared to mowing. Grazing and different grazing intensity are explored in a separate set of fiches.",NA
Grassland management,Definition of the farming practice15,"Increasing grass/forb species richness is a practice normally used to improve the agronomical performance of some grasslands. It consists on reseedings, generally with pluriannual grasses and legumes.","Velthof, GL, Lesschen, JP, Schils, RLM, et al. 2014. Grassland areas, production and use. Methodological studies in the field of Agro-Environmental Indicators. Alterra, Wageningen."
Grassland management,What does the definition of the FP include?1,"This review does not include other practices conducted in grasslands such as grazing nor the conversion of other agricultural land uses to grasslands, which are assessed in separate sets of fiches.",NA
Grassland management,What does the definition of the FP include?2,"The management practices reviewed here are only conducted in grasslands. However, the use in croplands (i.e., with no distinction between arable lands and grasslands) of nitrification inhibitors and other enhance-efficiency fertilisers, biochar and other soil organic amendments and fertilisers, are assessed in other sets of fiches.",NA
Grassland management,What does the definition of the FP include?3,"For greenhouse gas (GHG) emissions, the use of fertilisers is explored separately for N and P fertilisers as effects slightly differ.",NA
Grassland management,What does the definition of the FP exclude?1,"This review does not include grazing or other management practices (i.e, soil amendment and fertilisation, mowing, increasing grass species richness) conducted in grasslands, which are assessed in separate sets of fiches. ",NA
Grazing management,FP ID,Grazing management,NA
Grazing management,Definition of the farming practice1,"Grasslands are areas of land predominantly covered by communities of grass-like plants and forbs and may include sparsely occurring trees and shrubs. In the Eurostat classification, percentages of area covered by such canopies are limited to less than 10 % in the case of trees and to less than?20 % in the case of shrubs (i.e., low woody plants capable of reaching heights of up to 5 metres)",https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Glossary:Shrubland
Grazing management,Definition of the farming practice2,or shrubs and trees together.,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Glossary:Grassland
Grazing management,Definition of the farming practice3,"However, in the scientific literature reviewed here, grasslands are usually more broadly defined and might not fully meet such canopy limits. ",NA
Grazing management,Definition of the farming practice4,"This review includes a wide variety of grassland types: savannah, grassy deserts, seasonally flooded grasslands, prairies, meadows, pastures, rangelands, salt-marshes, bioenergy perennial grasslands, calcareous grasslands and wooded grasslands. Grasslands differ in terms of: management intensity (natural, semi-natural, improved and intensively managed), management history: permanent and temporary, successional stage (old successional and secondary grasslands), biomes and climates (semi-arid, temperate, tropical, Mediterranean, tundra, alpine, subalpine, artic and subartic).",NA
Grazing management,Definition of the farming practice5,Fodder crops are not included as grasslands.,NA
Grazing management,Definition of the farming practice6,This review includes interventions in grasslands related to:,NA
Grazing management,Definition of the farming practice7,Grazing is a method of animal husbandry in which livestock are allowed to feed outdoors consuming wild vegetation.,NA
Grazing management,Definition of the farming practice8,Rotational grazing comprises grazing regimes that incorporate periods of planned rest. In the scientific literature it is also refereed as strategic-rest grazing.,"McDonald, et al. 2019. Ecological, biophysical and production effects of incorporating rest into grazing regimes: A global meta-analysis. Journal of Applied Ecology 56, 2723-2731."
Grazing management,What does the definition of the FP include?1,"For the exploration of the impacts of grazing and grazing intensity, this review explores different grazing intensities: light, moderate and heavy (as reported by authors) as intervention, compared to no grazing or lower grazing intensity as comparator. We assume that the authors of the original individual papers report grazing intensity based on their knowledge of the systems studied, meaning that, for instance, the density intensity considered light in one study system can be high in another. Therefore, grazing intensities across individual studies and synthesis papers can not be compared. No grazing refers to areas with grazing exclusion or where only wild herbivores graze in natural conditions. ",NA
Grazing management,What does the definition of the FP include?2,"For the exploration of the impacts of rotational grazing, nearby areas with no grazing or continuous grazing are used as comparator. ",NA
Grazing management,What does the definition of the FP include?3,"The grazing livestock species included in this review are mainly cows, but goats, sheep and domesticated horses and yaks are also included. ",NA
Grazing management,What does the definition of the FP include?4,"When specified, the effects on biodiversity are explored for plant and animal taxa separately, as their trends differ. In this review, animal biodiversity includes invertebrates (in general, or specific taxa such as spiders, insects or benthic species) and vertebrates (in general, or specific taxa such as birds, mammals, reptiles, amphibians). Plant biodiversity includes vascular and non-vascular plants as well as lichens. ",NA
Grazing management,What does the definition of the FP include?5,The review of the impacts of grazing intensities includes spatial and temporal comparisons. Spatial comparisons were simultaneously conducted between nearby grazed and non-grazed areas. Temporal comparisons were conducted in the same area during periods with different grazing intensities.,NA
Grazing management,What does the definition of the FP include?6,"For the review of the impacts of grazing intensities, no grazing or lower grazing intensities were always used as comparators.",NA
Grazing management,What does the definition of the FP exclude?1,"This review does not include other management practices conducted in grasslands (i.e, soil amendment and fertilisation, mowing, increasing grass species richness) nor the conversion of other agricultural land uses to grasslands, which are assessed in separate sets of fiches. ",NA
Green manure,FP ID,Green manure,NA
Green manure,Definition of the farming practice1,"Fertilisation using green manure is the use of a cover crop sown on an agricultural field to fertilise the soil for the following crop, mainly through the intake of nitrogen.","Thromas et al., 2019 https://dicoagroecologie.fr/en/encyclopedia/green-manure/"
Green manure,What does the definition of the FP include?1,"Green manure consists of an herbaceous cover crop (either a legume, a non-legume or a mix) grown in alternance to cash crops, that is not harvested, and it is typically killed, chemically or mechanically, ahead of cash crop planting","Basche et al., 2019 https://doi.org/10.2489/jswc.69.6.471"
Green manure,What does the definition of the FP include?2,"The main objective of green manure is to substitute, partially or totally, mineral-nitrogen (N) fertilisers. Consequently, we only included papers where the fertilisation strategy was clearly stated, by comparing the use of green manure to either mineral-N fertilisation or to absence of mineral-N fertilisation.",NA
Green manure,What does the definition of the FP exclude?1,"We excluded synthesis papers where the fertilisation strategy was not clearly stated. We also excluded synthesis papers that reported impacts of cover crops which are removed from the field (not used as green manure), or that only considered the impacts related to the period cover crops are in the field (no data on fertilisation of cash crops).  ",NA
Intercropping,FP ID,Intercropping,NA
Intercropping,Definition of the farming practice1,"Intercropping is a farming method that involves cultivating two or more crop species (i.e., crop mixture cropping) or genotypes (i.e., cultivar mixture cropping) in the same area","Vandermeer, J. H. (1992). The ecology of intercropping. Cambridge University Press"
Intercropping,Definition of the farming practice2,and coexisting for a time so that they interact agronomically,"Brooker, Rob W., et al. ""Improving intercropping: a synthesis of research in agronomy, plant physiology and ecology."" New Phytologist 206.1 (2015): 107-117."
Intercropping,What does the definition of the FP include?1,This review includes different types of intercropping,"Ditzler, Lenora, et al. ""Current research on the ecosystem service potential of legume inclusive cropping systems in Europe. A review."" Agronomy for Sustainable Development 41.2 (2021): 1-13."
Intercropping,What does the definition of the FP include?2,"Mixed cropping: sowing multiple crop species or cultivars in the same field at the same time, in a mixture with a given seeding ratio but random spatial arrangement. ",NA
Intercropping,What does the definition of the FP include?3,Row intercropping: sowing multiple crop species in the same field at the same time in alternate rows. ,NA
Intercropping,What does the definition of the FP include?4,Strip intercropping: sowing two (or more) crop species in the same field at the same time in multi-row strips wide enough to allow independent cultivation. ,NA
Intercropping,What does the definition of the FP include?5,Relay cropping: intercropping of two crop species in which the second species is under-sown in the first at a later point in the growing season. ,NA
Intercropping,What does the definition of the FP include?6,"This review includes intercropping applied to cash crops, fodder (one study) and cover crops (one study). ",Cover crops are plants that are planted to cover (and protect) the soil rather than for being harvested.
Intercropping,What does the definition of the FP exclude?1,"This review does not include alley cropping, i.e., the cultivation of food, forage or specialty crops between rows of trees, and dual-purpose cropping, i.e. the cultivation of two or more crops used for grazing by livestock and for grain. These two practices are assessed in separate sets of fiches.  ",NA
Landscape features,FP ID,Landscape features,NA
Landscape features,Definition of the farming practice1,"Landscape features are small fragments of natural or semi-natural vegetation in agricultural landscape, which provide ecosystem services and support for biodiversity. Historically, farmers have taken advantage of the natural elements already present in the agricultural landscapes or have created them for various purposes: to use their wood, to create shelter for crops and livestock as well as windbreak barriers, to delimit parcels, or to be able to cultivate on land with steep slope.",Eurostat (2013). Archive: Agriculture -landscape features. Retrieved from: https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Archive:Agriculture_-_landscape_features
Landscape features,Definition of the farming practice2,"In most policy documents landscape features are defined as a group/list of subtypes (""features""), such as hedges, ponds, ditches, trees in line, in group or isolated, field margins, terraces, dry-stone or earth walls, vegetated areas, individual monumental trees, water streams, springs or historic canal networks. Nevertheless, there is no standard definition and typology of landscape features, and there are different interpretations in the various sectors and disciplines.",NA
Landscape features,Definition of the farming practice3,"This review applies an ad hoc ""typology"", synthesized from the feature types addressed in the scientific literature (i.e., it is not an exhaustive list but comprises only the features found in the literature that meet the requirements to be included in our review). This typology includes twelve (in some cases, partly overlapping) classes of landscape features: ",NA
Landscape features,Definition of the farming practice4,"Landscape features in general cover all features comprising small areas of permanent non-productive semi-natural vegetation embedded in farmlands, as well as anthropogenic structures such as stone walls. This broad class can involve various types of vegetation (woody, grassy, or wetland), either as historical legacies/remnants  or newly established habitat islands. This class covers a large fraction of other more specific Landscape feature classes (e.g. hedgerows, field margins), in order to host studies that did not make the distinction between the finer classes below.","A remnant natural area, also known as remnant habitat, is an ecological community containing native flora and fauna that has not been significantly disturbed by activities such as tillage, logging, pollution, urbanization, modification of fire regime, or non-native species invasion."
Landscape features,Definition of the farming practice5,"Buffer strips are narrow linear non-cultivated areas interposed between fields and water streams covered in semi-natural (typically grassland or wetland) vegetation, which are created / retained / managed in order to intercept and treat the waters leaving the cropland","Borin et al., 2010. Multiple functions of buffer strips in farming areas. European Journal of Agronomy, 32(1), 103-111."
Landscape features,Definition of the farming practice6,"Ditches are small human-made linear surface depressions covered by water and/or wetland vegetation, embedded in an agricultural landscape. Ditches are typically created for the purpose of irrigation, drainage, and/or soil erosion prevention","Dollinger et al., 2015. Managing ditches for agroecological engineering of landscape. A review. Agronomy for Sustainable Development, 35, 999-1020."
