type,subtype,theme,subtheme,practice,subpractice,subpractice_description,Notes,Source,agroecological principle
Animal management,NA,Animals,NA,Feed Substitution,Agroforestry Fodders (Substituted),Components of a basal diet fully or partially substituted for agroforestry shrub or tree fodders (woody plants).,Substitutions are typically defined by the author. Usually they are looking to substitute a conventional (e.g. purchased diet) with cheaper or more sustainable alternatives.,ERA,NA
Animal management,NA,Animals,NA,Feed Substitution,Animal Manures (Substituted),Components of a basal diet fully or partially substituted for animal manures.,Substitutions are typically defined by the author. Usually they are looking to substitute a conventional (e.g. purchased diet) with cheaper or more sustainable alternatives.,ERA,NA
Animal management,NA,Animals,NA,Feed Substitution,Crop Fodders (Substituted),"Components of a basal diet fully or partially substituted for residues from crops not primarily grown for fodder, but for another purpose (e.g. consumption). These can be field residues (for example maize stalks left over once the grain component has been harvested) and or processing residues (for example the maize bran produced as a byproduct of milling flour).",Substitutions are typically defined by the author. Usually they are looking to substitute a conventional (e.g. purchased diet) with cheaper or more sustainable alternatives.,ERA,NA
Animal management,NA,Animals,NA,Feed Substitution,Non Crop Fodders (Substituted),"Components of a basal diet fully or partially substituted for non-woody crops grown primarily for fodder (e.g., alfafa or clover grown to feed to cattle) or non-woody plants harvested from non-cropped areas (e.g., forage grasses such as napier grass grown to stabilize terraces, cactus harvested from boundary fences, wild growing plants in wayside or fallows, algae, etc.). Feeds are added compared to a base practice control such as hay ad libitum only.",Substitutions are typically defined by the author. Usually they are looking to substitute a conventional (e.g. purchased diet) with cheaper or more sustainable alternatives.,ERA,NA
Animal management,NA,Animals,NA,Feed Substitution,Other Feed (Substituted),"Components of a basal diet fully or partially substituted with non-plant and non-manure based materials. These typically include materials for the by-product of animal processing (e.g., bone meal or fish meal).",Substitutions are typically defined by the author. Usually they are looking to substitute a conventional (e.g. purchased diet) with cheaper or more sustainable alternatives.,ERA,NA
Animal management,NA,Animals,NA,Manure Management,Conventional Manure Handling,Conventional Manure handling (farmer practice).,NA,ERA,NA
Animal management,NA,Animals,NA,Manure Management,Manure Collection,"Techniques to collect manure, e.g, increased frequency of collection and removal from the kraal.",NA,ERA,NA
Animal management,NA,Animals,NA,Manure Management,Manure Storage,"Manure storage techniques such as heaps, pits or dry lots.",NA,ERA,NA
Animal management,NA,Animals,NA,Manure Management,Manure Treatment,Techniques for treatment of manure.,NA,ERA,NA
Animal management,NA,Animals,NA,Pasture Management,Controlled Grazing,"The restriction of animal movement within pastures. Controlled grazing is known by many names, such as rotational grazing, rotational stocking, intensive grazing and strip grazing. Typically a large pasture is subdivided into several smaller pastures (paddocks) by cross fencing and animals stocked in one of the paddocks. When the forage has been removed, cattle are rotated to the next paddock.",NA,ERA,NA
Animal management,NA,Animals,NA,Pasture Management,Conventional Pasture Management,Conventional pasture management. This could be the traditional or farmer practice or a practice the authors state as an unimproved control practice.,NA,ERA,NA
Animal management,NA,Animals,NA,Pasture Management,Cut & Carry,"A system where animals are confined and feed is brought to them, also known as zero grazing.",NA,ERA,NA
Animal management,NA,Animals,NA,Pasture Management,Improved Pasture (N fixing),The planting of pastures with leguminous forages.,NA,ERA,NA
Animal management,NA,Animals,NA,Pasture Management,Improved Pasture (Non N fixing),The planting of pastures with non-leguminous forages.,NA,ERA,NA
Animal management,NA,Animals,NA,Pasture Management,Rotational Grazing,The movement of animals between different paddocks at intervals.,NA,ERA,NA
Animal management,NA,NA,NA,NA,Fodder banks,control is a farmer is not storing fodder for the dry season and eigher having to vuy in fodder or try and subsist on whatever is available in the environment,NA,NA,NA
Animal management,NA,NA,NA,NA,Hay,control is a farmer is not storing fodder for the dry season and eigher having to vuy in fodder or try and subsist on whatever is available in the environment,NA,NA,NA
Animal management,Genetic improvement,NA,NA,Hybridization or Cross Breeding,Hybridization or Cross Breeding,"The use of animal cross breeds produced by the mating (hybridization) of individuals of different breeds, varieties, or species.",NA,ERA,NA
Animal management,Genetic improvement,NA,NA,Improved Breed,Improved Breeds,"The use of improved animal breeds, these are animals bred for specific traits usually productivity (typically breeds exotic to Africa like Friesen, Holstein or Jersey cows).",NA,ERA,NA
Animal management,NA,NA,NA,NA,Improved Pasture (N fixing and Non N fixing),the plantation of pastures with mixtures of grasses and leguminous forages,NA,NA,NA
Animal management,NA,NA,NA,NA,Improved Pasture (Unespecified),NA,NA,NA,NA
Animal management,NA,NA,NA,NA,N-inhibitors,NA,NA,NA,NA
Animal management,NA,NA,NA,NA,Optimization of stocking density,NA,NA,NA,NA
Animal management,NA,NA,NA,NA,Silage,control is a farmer is not storing fodder for the dry season and eigher having to vuy in fodder or try and subsist on whatever is available in the environment,NA,NA,NA
Animal management,Genetic improvement,NA,NA,Unimproved Breed,Unimproved Breed,A local or otherwise unimproved animal breed.,A control for improved breeds/hybrid and cross breeds.,ERA,NA
Animal management,Genetic improvement,NA,NA,Unspecified Breed,Unspecified Breed,The breed breed practice is not specified as being improved or unimproved,NA,ERA,NA
Biomass management,Mulches,Mulching,Organic mulch,Organic mulch (herbaceus),Mulch Herb (N fixing and Non N fixing),"Mulching with a mixture of herbaceous plant residues from both nitrogen-fixing (leguminous) and non-nitrogen fixing plant, residues remain on soil surface and are not incorporated or burnt (for example).",Residues can be from the field or brought to the field from outside field boundaries. Residues should not be from agroforestry (see the Tree Pruning Practice under the Agroforestry Theme).,ERA,NA
Biomass management,Mulches,Mulching,Organic mulch,Organic mulch (herbaceus),Mulch Herb (N fixing),"Mulching with herbaceous plant residues from a nitrogen fixing (leguminous) plant, residues remain on soil surface and are not incorporated or burnt (for example).",Residues can be from the field or brought to the field from outside field boundaries. Residues should not be from agroforestry (see the Tree Pruning Practice under the Agroforestry Theme).,ERA,NA
Biomass management,Mulches,Mulching,Organic mulch,Organic mulch (herbaceus),Mulch Herb (Non N fixing),"Mulching with herbaceous plant residues from a non-nitrogen fixing (not leguminous) plant, residues remain on soil surface and are not incorporated or burnt (for example).",Residues can be from the field or brought to the field from outside field boundaries. Residues should not be from agroforestry (see the Tree Pruning Practice under the Agroforestry Theme).,ERA,NA
Biomass management,Mulches,Mulching,Organic mulch,Organic mulch (herbaceus),Mulch Herb (Unspecified),"Mulching with herbaceous plant residues from a plant that is unspecified if it fix or not Nitrogent, residues remain on soil surface and are not incorporated or burnt (for example).",NA,NA,NA
Biomass management,Mulches,Mulching,Organic mulch,Organic mulch (unspecified),Mulch (Unspecified Plants),"Mulching with plant residues from an unspecified plant type, residues remain on soil surface and are not incorporated or burnt (for example).",Residues can be from the field or brought to the field from outside field boundaries. Residues should not be from agroforestry (see the Tree Pruning Practice under the Agroforestry Theme).,ERA,NA
Biomass management,Mulches,Mulching,Organic mulch,Organic mulch (woody/other),Mulch (Other Materials),Mulching on the soil surface with organic materials that are not herbaceous plants or plastic. This includes materials like wood shavings.,NA,ERA,NA
Biomass management,Agroforestry pruning residues,Mulching,Organic mulch,Organic mulch (woody/other),Tree Prunings Mulched (N fixing),"Prunings (leaves, branches, etc.) of a nitrogen fixing (leguminous) woody plant applied were applied to the cropping area as mulch (prunings on the surface).","This could be from alleycropping, biomass transfer models or cut-and-carry where prunings come from off the field.",ERA,NA
Biomass management,Agroforestry pruning residues,Mulching,Organic mulch,Organic mulch (woody/other),Tree Prunings Mulched (Non N fixing),"Prunings (leaves, branches, etc.) of a non-nitrogen fixing (not leguminous) woody plant applied were applied to the cropping area as mulch (prunings on the surface).","This could be from alleycropping, biomass transfer models or cut-and-carry where prunings come from off the field.",ERA,NA
Biomass management,Agroforestry pruning residues,Mulching,Organic mulch,Organic mulch (woody/other),Tree Prunings Mulched (Unspecified),"Prunings (leaves, branches, etc.) of an unidentified woody plant were applied to the cropping area as mulch (prunings on the surface).","This could be from alleycropping, biomass transfer models or cut-and-carry where prunings come from off the field.",ERA,NA
Biomass management,Mulches,No mulch,No mulch,No mulch,No mulch Applied,None mulching practices is applied,NA,AS,NA
Biomass management,Mulches,Plastic mulch,Plastic mulch,Plastic mulch,Plastic Mulch,Mulching with plastic materials on the soil surface.,NA,ERA,NA
Biomass management,Crop residues,NA,Crop residues removed,Crop residues burnt,Crop Residues Burnt,Crop residues are burnt (in the field).,NA,ERA,NA
Biomass management,Crop residues,NA,Crop residues removed,Crop residues grazed,Crop Residues Grazed,Crop residues are grazed by livestock (in the field).,NA,ERA,NA
Biomass management,Crop residues,NA,Crop residues retain,Crop residues incorporated,Crop Residue Incorporated,Crop residues are incorporated into the field.,NA,ERA,NA
Biomass management,Crop residues,NA,Crop residues retain,Crop residues incorporated,Crop Residue Incorporation (N fixing),The incorporation of crop residues from a nitrogen-fixing (leguminous) plant. Residues may be brought to the field as biomass transfer.,This practice should not be used for Agroforestry residues (use the agroforestry theme).,ERA,NA
Biomass management,Crop residues,NA,Crop residues retain,Crop residues incorporated,Crop Residue Incorporation (Non N fixing),The incorporation of crop residues from a non nitrogen-fixing (not leguminous) plant. Residues may be brought to the field as biomass transfer.,This practice should not be used for Agroforestry residues (use the agroforestry theme).,ERA,NA
Biomass management,Crop residues,NA,Crop residues retain,Crop residues incorporated,Crop Residue Incorporation (Unspecified),The incorporation of crop residues from an unspecified type of plant. Residues may be brought to the field as biomass transfer.,This practice should not be used for Agroforestry residues (use the agroforestry theme).,ERA,NA
Biomass management,Crop residues,NA,Crop residues removed,Crop residues removed,Crop Residues Removed,Crop residues are removed from the field.,NA,ERA,NA
Biomass management,Crop residues,NA,Crop residues retain,Crop residues retained,Crop Residue Unresolved (N fixing),"Crop residues from a nitrogen-fixing (leguminous) plant are retained in the field, but it is unknown if the residues are mulched or incorporated",This practice should not be used for Agroforestry residues (use the agroforestry theme).,ERA,NA
Biomass management,Crop residues,NA,Crop residues retain,Crop residues retained,Crop Residue Unresolved (Non N fixing),"Crop residues from a non nitrogen-fixing (not leguminous) plant are retained in the field, but it is unknown if the residues are mulched or incorporated",This practice should not be used for Agroforestry residues (use the agroforestry theme).,ERA,NA
Biomass management,Crop residues,NA,Crop residues retain,Crop residues retained,Crop Residue Unresolved (Unspecified),"Crop residues from an unspecified type of plant are retained in the field, but it is unknown if the residues are mulched or incorporated",This practice should not be used for Agroforestry residues (use the agroforestry theme).,ERA,NA
Biomass management,Agroforestry pruning residues,NA,NA,Tree Pruning (Fate Unknown),Tree Pruning (Fate Unknown),"The cutting or coppicing of woody agroforestry species, generally to reduce competition or shading with intercrops, but the fate of the residues is unknown (it is unclear if was applied or removed).","This could be from alleycropping, biomass transfer models or cut-and-carry where prunings come from off the field.",ERA,NA
Biomass management,Agroforestry pruning residues,NA,Tree residues retain,Tree pruning applied,Tree Prunings Applied (N fixing),"Prunings (leaves, branches, etc.) of a nitrogen fixing (leguminous) woody plant residues were retained/returned to the cropping area, but it is unknown if they were mulched or incorporated.","This could be from alleycropping, biomass transfer models or cut-and-carry where prunings come from off the field.",ERA,NA
Biomass management,Agroforestry pruning residues,NA,Tree residues retain,Tree pruning applied,Tree Prunings Applied (Non N fixing),"Prunings (leaves, branches, etc.) of a non-nitrogen fixing (not leguminous) woody plant were retained/returned to the cropping area, but it is unknown if they were mulched or incorporated.","This could be from alleycropping, biomass transfer models or cut-and-carry where prunings come from off the field.",ERA,NA
Biomass management,Agroforestry pruning residues,NA,Tree residues retain,Tree pruning applied,Tree Prunings Applied (Unspecified),"Prunings (leaves, branches, etc.) of an unidentified woody plant were retained/returned to the cropping area, but it is unknown if they were mulched or incorporated.","This could be from alleycropping, biomass transfer models or cut-and-carry where prunings come from off the field. It does not include situations where crop processing byproducts such as a oil palm bunch residues or walnut shells are applied to a field, these should be recorded using a regular mulch code.",ERA,NA
Biomass management,Agroforestry pruning residues,NA,Tree residues retain,Tree pruning incorporated,Tree Prunings Incorporated (N fixing),"Prunings (leaves, branches, etc.) of a nitrogen fixing (leguminous) woody plant applied were applied to the cropping area and incorporated into the soil (e.g., by ploughing).","This could be from alleycropping, biomass transfer models or cut-and-carry where prunings come from off the field.",ERA,NA
Biomass management,Agroforestry pruning residues,NA,Tree residues retain,Tree pruning incorporated,Tree Prunings Incorporated (Non N fixing),"Prunings (leaves, branches, etc.) of a non-nitrogen fixing (not leguminous) woody plant applied were applied to the cropping area and incorporated into the soil (e.g., by ploughing).","This could be from alleycropping, biomass transfer models or cut-and-carry where prunings come from off the field.",ERA,NA
Biomass management,Agroforestry pruning residues,NA,Tree residues retain,Tree pruning incorporated,Tree Prunings Incorporated (Unspecified),"Prunings (leaves, branches, etc.) of an unidentified woody plant were applied to the cropping area and incorporated into the soil (e.g., by ploughing).","This could be from alleycropping, biomass transfer models or cut-and-carry where prunings come from off the field.",ERA,NA
Biomass management,Agroforestry pruning residues,NA,Tree residues removed,Tree Residues Burnt,Tree Residues Burnt,Tree residues are burnt (in the field).,NA,AS,NA
Biomass management,Agroforestry pruning residues,NA,Tree residues removed,Tree Residues Removed,Tree Residues Removed,Tree residues are removed from the field.,NA,AS,NA
Crop management,Diversification (temporal),Crop rotation,Crop Rotation,Complex crop rotation,Complex Rotation,"A crop rotation sequence with three or more species or rotations with different annual cycles. If intercropping is present in a complex rotation then this should also be captured with an intercropping code. A species is not counted towards a rotation sequence species count when it is obviously a minor intercrop to a main crop which remains invariant (typically there is standard planting of the main crop from year to year and the intercrop is squeezed in-between the rows of the main crop, for example cowpea planted at a low density inbetween maize rows). If it is not clear which crops are main or minor or not then count them all towards a complex rotation total (so an experiement might have maize one year, then the next year some maize rows are replaced with beans, in this case the beans are counted as a rotation crop and the number of species is two). 
A general definition of rotation is that more than one crop is grown in the same location, but across different growing season (diversification in time). Different varieties of the same crop do not count as rotation. Crops should be grown for harvest and not as cover crop or green manure.",NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (temporal),Crop rotation,Crop Rotation,Crop rotation (High diversity),Crop rotation (High diversity),Recurrent succession of a set of selected crops grown on a particular agricultural land each season or each year according to a definite plan.,NA,AS from biodiversity dataset,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (temporal),Crop rotation,Crop Rotation,Crop rotation (inter annual),Crop rotation (inter annual),See crop rotation,NA,BIOFincas,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (temporal),Crop rotation,Crop Rotation,Crop rotation (Low diversity),Crop rotation (Low diversity),Control of crop rotation - High diversity (fewer than 3 crops),NA,AS from biodiversity dataset,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (temporal),Crop rotation,Crop Rotation,Crop Rotation (N fixing mixed),Rotation (N fixing and Non N fixing),"A crop rotation sequence containing non-leguminous and leguminous crops (e.g. a maize/bean rotation a maize-bean intercrop followed by cassava). 
A general definition of rotation is that more than one crop is grown in the same location, but across different growing season (diversification in time). Different varieties of the same crop do not count as rotation. A crop is not counted in a rotation sequence when it is obviously a minor intercrop to a main crop which is invariant over time (typically there is standard planting of the main crop from year to year and the intercrop is squeezed in-between the rows of the main crop, for example cowpea planted at a low density inbetween maize rows).",Crops should be grown for harvest and not as cover crop or green manure.,ERA,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (temporal),Intercropping,Intercropping,Intercropping (N fixing),Double Cropping (N fixing),A double cropping system where two different crops are planting sequentially within the same growing season. All crops fix nitrogen.,NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (temporal),Crop rotation,Crop Rotation,Crop Rotation (N fixing),Rotation (N fixing),"A crop rotation sequence of two or more legumes.
A general definition of rotation is that more than one crop is grown in the same location, but across different growing season (diversification in time). Different varieties of the same crop do not count as rotation. A crop is not counted in a rotation sequence when it is obviously a minor intercrop to a main crop which is invariant over time (typically there is standard planting of the main crop from year to year and the intercrop is squeezed in-between the rows of the main crop, for example cowpea planted at a low density inbetween maize rows).",Crops should be grown for harvest and not as cover crop or green manure.,ERA,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (temporal),Intercropping,Intercropping,Intercropping (Non N fixing),Double Cropping (Non N fixing),A double cropping system where two different crops are planting sequentially within the same growing season. No crops fix nitrogen.,NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (temporal),Crop rotation,Crop Rotation,Crop Rotation (Non N fixing),Rotation (Non N fixing),"A crop rotation sequence with two or more non-legumes.
A general definition of rotation is that more than one crop is grown in the same location, but across different growing season (diversification in time). Different varieties of the same crop do not count as rotation.",Crops should be grown for harvest and not as cover crop or green manure.,ERA,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (temporal),Crop rotation,Crop Rotation,Crop Rotation (seasonal),Crop rotation (seasonal),See crop rotation,NA,BIOFincas,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (temporal),Crop rotation,Crop Rotation,Intercrop Rotation,Intercrop Rotation,"Rotation where a main crop remains the same between seasons (no change in spatial location or crop identity), but the minor intercrop is not always present. If the same crop is intercropped throughout the sequence (e.g. Maize-Beans/Maize/Maize-Beans) then this requires a Partial Intercropping code (b50.1, b50.2 or b50.3) or if the intercrop changes throughout the sequence (e.g. Maize-Beans/Maize-Millet/Maize-Beans) this requires a Complex Intercrop Rotation code (b57). If the intercrop is mostly one crop for a long sequence, but rarely something else is planted, we still consider this to be relevant to the Partial Intercropping code.
A general definition of rotation is that more than one crop is grown in the same location, but across different growing season (diversification in time). Different varieties of the same crop do not count as rotation. A crop is not counted in a rotation sequence when it is obviously a minor intercrop to a main crop which is invariant over time (typically there is standard planting of the main crop from year to year and the intercrop is squeezed in-between the rows of the main crop, for example cowpea planted at a low density inbetween maize rows). Crops should be grown for harvest and not as cover crop or green manure (if the latter see the green manure practices).",NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (spatial),Green manure,Green manure,Green Manure (N fixing mixed),Relay Green Manure (N fixing and Non N fixing),"A crop is planted and then a green manure is planted with that crop, but at a later date within the same season. Some crops fixes nitrogen the others does not. A green manure is usually planted to improve soil quality and it should not be harvested crop.",NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (spatial),Green manure,Green manure,Green Manure (N fixing),Relay Green Manure (N fixing),"A crop is planted and then a green manure is planted with that crop, but at a later date within the same season. All crop fix nitrogen.",NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (spatial),Green manure,Green manure,Green Manure (Non N fixing),Relay Green Manure (Non N fixing),"A crop is planted and then a green manure is planted with that crop, but at a later date within the same season. No crops fixes nitrogen.",NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (spatial),Intercropping,Intercropping,Complex Intercropping,Complex Intercrop,An intercropping system that is too complex to descirbe using existing ERA definitions. Typically involving multiple intercropping practices at the same time. Please use the notes to descirbe this practice.,NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (spatial),Intercropping,Intercropping,Intercropping (High diversity),Intercrop (High diversity),An intercropping system with three or more crop species,NA,AS from biodiversity dataset,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (spatial),Intercropping,Intercropping,Intercropping (Low diversity),Intercrop (Low diversity),An intercropping system with less than three crop species (control for intercrop - High diversity),NA,AS from biodiversity dataset,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (spatial),Intercropping,Intercropping,Intercropping (N fixing mixed),Double Cropping (N fixing and Non N fixing),A double cropping system where two different crops are planting sequentially within the same growing season. Some crops fix nitrogen others do not.,NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (spatial),Intercropping,Intercropping,Intercropping (N fixing mixed),Intercrop (N fixing and Non N fixing),"An intercropping system with a legume and non-legume. 
Intercropping is where more than one crop is grown at the same time in the same area of management (typically a single field), this is diversification in space rather than diversification in time. Crops should be grown for harvest and not as cover crop or green manure (if the latter see the green manure practices).",NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (spatial),Intercropping,Intercropping,Intercropping (N fixing mixed),Partial Intercrop (N fixing and Non N fixing),"An intercropping system with a legume and non-legume where intercropping is not present every season (spatial diversification that is variable over time). For example a repeating sequence of Maize followed by a Maize-Cowpea intercrop, this would also get an intercrop rotation code.
Intercropping is where more than one crop is grown at the same time in the same area of management (typically a single field), this is diversification in space rather than diversification in time. Crops should be grown for harvest and not as cover crop or green manure (if the latter see the green manure practices).",NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (spatial),Intercropping,Intercropping,Intercropping (N fixing mixed),Relay Intercropping (N fixing and Non N fixing),"A crop is planted and then another is planted with that crop, but at a later date within the same season. Some crops fixes nitrogen the others does not.",NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (spatial),Intercropping,Intercropping,Intercropping (N fixing mixed),Sequential Intercropping (N fixing and Non N fixing),"An intercropping and double cropping system where two crops are planted together at the start of the season, then one is harvested and another crop planted whilst the non-harvested crop is growing (all within the same season). Some crops fix nitrogen others does not.",NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (spatial),Intercropping,Intercropping,Intercropping (N fixing),Intercrop (N fixing),"An intercropping system with two or more legumes (edible or marketable).
Intercropping is where more than one crop is grown at the same time in the same area of management (typically a single field), this is diversification in space rather than diversification in time. Crops should be grown for harvest and not as cover crop or green manure (if the latter see the green manure practices).",NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (spatial),Intercropping,Intercropping,Intercropping (N fixing),Partial Intercrop (N fixing),"An intercropping system with two legume crops where intercropping is not present every season (spatial diversification that is variable over time). For example a repeating sequence of Maize followed by a Maize-Cowpea intercrop, this would also get an intercrop rotation code.
Intercropping is where more than one crop is grown at the same time in the same area of management (typically a single field), this is diversification in space rather than diversification in time. Crops should be grown for harvest and not as cover crop or green manure (if the latter see the green manure practices).",NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (spatial),Intercropping,Intercropping,Intercropping (N fixing),Relay Intercropping (N fixing),"A crop is planted and then another is planted with that crop, but at a later date within the same season. All crop fix nitrogen.",NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (spatial),Intercropping,Intercropping,Intercropping (N fixing),Sequential Intercropping (N fixing),"An intercropping and double cropping system where two crops are planted together at the start of the season, then one is harvested and another crop planted whilst the non-harvested crop is growing (all within the same season). All crops fix nitrogen.",NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (spatial),Intercropping,Intercropping,Intercropping (Non N fixing),Intercrop (Non N fixing),"An intercropping system with two non-legumes.
Intercropping is where more than one crop is grown at the same time in the same area of management (typically a single field), this is diversification in space rather than diversification in time. Crops should be grown for harvest and not as cover crop or green manure (if the latter see the green manure practices).",NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (spatial),Intercropping,Intercropping,Intercropping (Non N fixing),Partial Intercrop (Non N fixing),"An intercropping system with two non-legume crops where intercropping is not present every season (spatial diversification that is variable over time). For example a repeating sequence of Maize followed by a Maize-Cowpea intercrop, this would also get an intercrop rotation code.
Intercropping is where more than one crop is grown at the same time in the same area of management (typically a single field), this is diversification in space rather than diversification in time. Crops should be grown for harvest and not as cover crop or green manure (if the latter see the green manure practices).",NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (spatial),Intercropping,Intercropping,Intercropping (Non N fixing),Relay Intercropping (Non N fixing),"A crop is planted and then another is planted with that crop, but at a later date within the same season. No crops fixes nitrogen.",NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (spatial),Intercropping,Intercropping,Intercropping (Non N fixing),Sequential Intercropping (Non N fixing),"An intercropping and double cropping intercropping system where two crops are planted together at the start of the season, then one is harvested and another crop planted whilst the non-harvested crop is growing (all within the same season). No crops fix nitrogen.",NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (spatial),Intercropping,Intercropping,Intercropping (trap crop),Intercropping with trap crops,NA,NA,BIOFincas,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (spatial),Intercropping,Intercropping,Intercropping (trap crop),Push pull,NA,NA,BIOFincas,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (spatial),Intercropping,Intercropping,Intercropping (Unspecified),Intercrop (Unspecified),"An intercropping system is present, but no details on composition are available.
Intercropping is where more than one crop is grown at the same time in the same area of management (typically a single field), this is diversification in space rather than diversification in time. Crops should be grown for harvest and not as cover crop or green manure (if the latter see the green manure practices).",Only use this practice where there are no details presented about an intercropping paper. All we know is that intercropping was present.,ERA,5_biodiversity..6_synergy..7_economic_diversification
Crop management,Diversification (spatial),Intercropping,Intercropping,Intercropping or Rotation (N fixing),Intercropping or Rotation (N fixing and Non N fixing),"Only use this practices where a paper states that legume intercropping or rotation was used, but the outcomes do not distinguish between the two.",This outcome will typically relate to farmer trials or surveys.,ERA,5_biodiversity..6_synergy..7_economic_diversification
